,Date,precip_and_snowmelt_input_Lower San Juan_mean,irrigation_Lower San Juan_mean,AET_Lower San Juan_mean,soil_thickness_Lower San Juan_mean,soil_porosity_Lower San Juan_mean,field_capacity_Lower San Juan_mean,wilting_point_Lower San Juan_mean,Geo_K_Lower San Juan_mean,Runoff_Lower San Juan_mean,Recharge_Lower San Juan_mean,Soil_Water_End_Of_Previous_Timestep_Lower San Juan_mean,Soil_Saturation_Percent_End_Of_Timestep_Lower San Juan_mean,precip_and_snowmelt_input_m3_Lower San Juan_sum,irrigation_m3_Lower San Juan_sum,AET_m3_Lower San Juan_sum,Runoff_m3_Lower San Juan_sum,Recharge_m3_Lower San Juan_sum,Soil_Water_End_Of_Previous_Timestep_m3_Lower San Juan_sum,Lower San Juan_area_m2
0,2005-01-01,70.1617088536839,0.0,6.919263187604913,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,15.057685138445427,40.9585222859517,76.28706639057609,63.358518917351304,926477846.2936734,0.0,91367971.8301319,198636817.36726388,539971603.443257,995998221.6629225,13673448103.110418
1,2005-02-01,52.792497179469386,0.0,17.303814786755204,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,8.620862638903166,26.237395474073676,76.53846458117141,63.15646029787081,697125798.234314,0.0,228495282.0027189,113727950.24157475,345855065.9065342,999280271.904308,13673448103.110418
2,2005-03-01,19.237759553080288,0.0,15.716886670528993,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.8174232435123083,10.120730038961783,69.11143699740656,49.58934741196307,254033330.497485,0.0,207528574.85718685,10785411.883424534,133424101.81375708,902321703.6973642,13673448103.110418
3,2005-04-01,26.394298911372065,0.15192230628627765,21.118387331580433,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,1.8822798041260806,9.47503459254629,64.29438671338657,44.761703423884256,348517369.2851775,2005862.3184898824,278852016.236372,24830745.23825274,124933113.99981527,839434726.508355,13673448103.110418
4,2005-05-01,12.69232091202553,0.39499799185085666,31.831750969294603,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.5901404350786309,3.081215610543712,48.82915218640738,30.055168968138332,167585790.46337965,5215241.968751366,420319865.19644564,7789968.009168118,40636473.2705609,637521945.5649308,13673448103.110418
5,2005-06-01,7.68257751415872,0.6076892251451106,24.69910988309045,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.24572799011246452,1.2691301129301353,42.17139111485283,24.238184592170203,101444767.12306923,8023449.27395953,326137716.443695,3244565.6347178617,16743075.559103684,550601275.0184443,13673448103.110418
6,2005-07-01,17.377516125683552,0.7899959837017133,30.32456645423896,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.6999982939508477,2.4715224282241732,40.30818875367186,24.00534228881683,229459207.71539328,10430483.937502733,400413682.39603555,9242612.54428209,32604422.07558901,526277001.66600204,13673448103.110418
7,2005-08-01,30.331650999839738,0.6380736779798556,26.76974434392504,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,1.5730300148045508,6.283946004821902,44.592687398516574,29.164572827955887,400547520.00521356,8424621.626452425,353482522.18164474,20763260.873552505,82893730.12233454,582227696.4541912,13673448103.110418
8,2005-09-01,39.6170273149414,0.3038446125725553,17.68629469524787,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,2.929376939803144,11.617586644922211,53.451615641140386,40.642452472470964,523121197.1760293,4011724.636979765,233541932.62153974,38662176.412150696,153242261.31383768,697880427.1252768,13673448103.110418
9,2005-10-01,23.261817813418794,0.15192230628627765,17.093486043644276,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,1.3598520724549579,7.6682059395514095,52.65997433866486,39.59222979066624,307160717.45348114,2005862.3184898824,225713561.05766362,17939023.130088273,101113266.83702666,687545143.6703813,13673448103.110418
