,Date,precip_and_snowmelt_input_Lower San Juan_mean,irrigation_Lower San Juan_mean,AET_Lower San Juan_mean,soil_thickness_Lower San Juan_mean,soil_porosity_Lower San Juan_mean,field_capacity_Lower San Juan_mean,wilting_point_Lower San Juan_mean,Geo_K_Lower San Juan_mean,Runoff_Lower San Juan_mean,Recharge_Lower San Juan_mean,Soil_Water_End_Of_Previous_Timestep_Lower San Juan_mean,Soil_Saturation_Percent_End_Of_Timestep_Lower San Juan_mean,precip_and_snowmelt_input_m3_Lower San Juan_sum,irrigation_m3_Lower San Juan_sum,AET_m3_Lower San Juan_sum,Runoff_m3_Lower San Juan_sum,Recharge_m3_Lower San Juan_sum,Soil_Water_End_Of_Previous_Timestep_m3_Lower San Juan_sum,Lower San Juan_area_m2
0,2005-01-01,70.1617088536839,0.0,22.8787236507866,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,9.272579062416025,28.61233697325244,64.4077590984556,53.466231849412736,926477846.2936734,0.0,302120527.2974439,122365870.5979935,377346854.38139254,840905721.2835616,13673448103.110418
1,2005-02-01,52.792497179469386,0.0,28.119767963515944,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,5.045070441776783,19.199852308658915,64.65968435681204,51.05492191139664,697125798.234314,0.0,371322812.13136774,66586668.89150106,253198837.6300313,844197232.2781069,13673448103.110418
2,2005-03-01,19.237759553080288,0.0,14.801493530608894,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,1.0472456943280923,7.5839144946817845,60.488301681160266,44.022289653726325,254033330.497485,0.0,195449512.69060123,13823383.996490108,100073092.46310033,789738370.1293807,13673448103.110418
3,2005-04-01,26.394298911372065,0.15192230628627765,23.30841243668022,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,1.2756304894502977,7.047987632263006,56.157808823851305,40.50962298223898,348517369.2851775,2005862.3184898824,307781733.2655228,16835678.465721462,92956176.118479,733193014.4316003,13673448103.110418
4,2005-05-01,12.69232091202553,0.39499799185085666,18.343146901971295,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.17831001076943884,4.647266816059469,49.24668439222277,34.83073212134981,167585790.46337965,5215241.968751366,242200032.14610705,2353493.840590856,61294596.525911584,642968116.9965036,13673448103.110418
5,2005-06-01,7.68257751415872,0.6076892251451106,24.39802308480773,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.11593928068577079,3.029879552073386,38.98220728229726,25.48763593375345,101444767.12306923,8023449.27395953,322164536.47478956,1530510.5136143991,39994376.723266,508955694.7553022,13673448103.110418
6,2005-07-01,17.377516125683552,0.7899959837017133,26.128633183297016,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.39949807581227204,4.489416160055298,36.46752457597239,25.871478387038092,229459207.71539328,10430483.937502733,345018033.4959387,5273614.542321175,59255476.58258749,476115763.4207789,13673448103.110418
7,2005-08-01,30.331650999839738,0.6380736779798556,33.74161415392845,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.9077329803357886,5.642673187658794,34.80584756730558,24.344370116255877,400547520.00521356,8424621.626452425,445561290.11137617,11981856.417211656,74481870.38540016,454423732.7797184,13673448103.110418
8,2005-09-01,39.6170273149414,0.3038446125725553,25.01904065837759,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,2.320862191067032,8.975614574869462,41.6105031117566,32.575092386482815,523121197.1760293,4011724.636979765,330364387.6050923,30631284.336602338,118464968.66149528,543266587.6731688,13673448103.110418
9,2005-10-01,23.261817813418794,0.15192230628627765,22.104303222068754,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,1.129180331383342,5.193991606471426,39.82496885917049,31.309566021201196,307160717.45348114,2005862.3184898824,291879212.26845175,14903509.897071967,68516370.17360559,519953939.48844355,13673448103.110418
10,2005-11-01,3.2838154623364084,0.0,6.019980985486594,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.01401654417316335,2.206360865454901,37.6166172480517,26.426398180874504,43358275.71427446,0.0,79487538.51407443,185013.97245454622,29121421.801086813,491123225.8870552,13673448103.110418
11,2005-12-01,3.3975010661594243,0.0,3.796991250352813,316.79556066847704,0.4540015661202778,55.51427261865852,27.326340916822947,12925.503605008385,0.0038128742672433598,1.691403262603076,36.5018626581875,24.180821274137983,44860383.05744043,0.0,50136202.90340414,50350.48220046098,22325877.393083725,476569440.90737855,13673448103.110418
