,Date,precip_and_snowmelt_input_Lower Weber_mean,irrigation_Lower Weber_mean,AET_Lower Weber_mean,soil_thickness_Lower Weber_mean,soil_porosity_Lower Weber_mean,field_capacity_Lower Weber_mean,wilting_point_Lower Weber_mean,Geo_K_Lower Weber_mean,Runoff_Lower Weber_mean,Recharge_Lower Weber_mean,Soil_Water_End_Of_Previous_Timestep_Lower Weber_mean,Soil_Saturation_Percent_End_Of_Timestep_Lower Weber_mean,precip_and_snowmelt_input_m3_Lower Weber_sum,irrigation_m3_Lower Weber_sum,AET_m3_Lower Weber_sum,Runoff_m3_Lower Weber_sum,Recharge_m3_Lower Weber_sum,Soil_Water_End_Of_Previous_Timestep_m3_Lower Weber_sum,Lower Weber_area_m2
0,2024-01-01,97.04329048987519,0.0,8.021852391417069,490.0310253725399,0.5105822509338969,130.2870849387094,63.86998514751257,15109.989698871086,6.351193075589447,54.21983612408723,149.8015125375951,59.902460577875864,331812402.9375443,0.0,27426454.00094903,21715647.16973859,185392765.0579187,487989058.42616004,3417080519.6204176
1,2024-01-01,97.04329048987519,0.0,8.021852391417069,490.0310253725399,0.5105822509338969,130.2870849387094,63.86998514751257,15109.989698871086,6.351193075589447,54.21983612408723,149.8015125375951,59.902460577875864,331812402.9375443,0.0,27426454.00094903,21715647.16973859,185392765.0579187,487989058.42616004,3417080519.6201215
2,2024-01-01,97.04329048987519,0.0,8.021852391417069,490.0310253725399,0.5105822509338969,130.2870849387094,63.86998514751257,15109.989698871086,6.351193075589447,54.21983612408723,149.8015125375951,59.902460577875864,331812402.9375443,0.0,27426454.00094903,21715647.16973859,185392765.0579187,487989058.42616004,3417080519.6201215
3,2024-01-01,97.04329048987519,0.0,8.021852391417069,490.0310253725399,0.5105822509338969,130.2870849387094,63.86998514751257,15109.989698871086,6.351193075589447,54.21983612408723,149.8015125375951,59.902460577875864,331812402.9375443,0.0,27426454.00094903,21715647.16973859,185392765.0579187,487989058.42616004,3417080519.6201215
4,2024-01-01,97.04329048987519,0.0,8.021852391417069,490.0310253725399,0.5105822509338969,130.2870849387094,63.86998514751257,15109.989698871086,6.351193075589447,54.21983612408723,149.8015125375951,59.902460577875864,331812402.9375443,0.0,27426454.00094903,21715647.16973859,185392765.0579187,487989058.42616004,3417080519.6201215
5,2024-01-01,97.04329048987519,0.0,8.021852391417069,490.0310253725399,0.5105822509338969,130.2870849387094,63.86998514751257,15109.989698871086,6.351193075589447,54.21983612408723,149.8015125375951,59.902460577875864,331812402.9375443,0.0,27426454.00094903,21715647.16973859,185392765.0579187,487989058.42616004,3417080519.6204176
6,2024-01-01,97.04329048987519,0.0,8.021852391417069,490.0310253725399,0.5105822509338969,130.2870849387094,63.86998514751257,15109.989698871086,6.351193075589447,54.21983612408723,149.8015125375951,59.902460577875864,331812402.9375443,0.0,27426454.00094903,21715647.16973859,185392765.0579187,487989058.42616004,3417080519.6201215
7,2024-01-01,97.04329048987519,0.0,8.021852391417069,490.0310253725399,0.5105822509338969,130.2870849387094,63.86998514751257,15109.989698871086,6.351193075589447,54.21983612408723,149.8015125375951,59.902460577875864,331812402.9375443,0.0,27426454.00094903,21715647.16973859,185392765.0579187,487989058.42616004,3417080519.6201215
8,2024-01-01,97.04329048987519,0.0,8.021852391417069,490.0310253725399,0.5105822509338969,130.2870849387094,63.86998514751257,15109.989698871086,6.351193075589447,54.21983612408723,149.8015125375951,59.902460577875864,331812402.9375443,0.0,27426454.00094903,21715647.16973859,185392765.0579187,487989058.42616004,3417080519.6201215
9,2024-01-01,97.04329048987519,0.0,8.021852391417069,490.0310253725399,0.5105822509338969,130.2870849387094,63.86998514751257,15109.989698871086,6.351193075589447,54.21983612408723,149.8015125375951,59.902460577875864,331812402.9375443,0.0,27426454.00094903,21715647.16973859,185392765.0579187,487989058.42616004,3417080519.6201215
