,Date,precip_and_snowmelt_input_Raft_mean,irrigation_Raft_mean,AET_Raft_mean,soil_thickness_Raft_mean,soil_porosity_Raft_mean,field_capacity_Raft_mean,wilting_point_Raft_mean,Geo_K_Raft_mean,Runoff_Raft_mean,Recharge_Raft_mean,Soil_Water_End_Of_Previous_Timestep_Raft_mean,Soil_Saturation_Percent_End_Of_Timestep_Raft_mean,precip_and_snowmelt_input_m3_Raft_sum,irrigation_m3_Raft_sum,AET_m3_Raft_sum,Runoff_m3_Raft_sum,Recharge_m3_Raft_sum,Soil_Water_End_Of_Previous_Timestep_m3_Raft_sum,Raft_area_m2
0,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
1,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5060358
2,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
3,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
4,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
5,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
6,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5060358
7,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
8,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
9,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
10,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
11,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
12,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
13,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
14,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
15,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
16,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
17,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
18,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
19,2024-01-01,51.71408954032769,0.0,15.751804620072992,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,4.578478450260988,17.183837995581754,101.53192672923294,41.484667331224486,99060102.76579383,0.0,30174792.959791176,8769880.50239764,32915949.473995734,194495217.95459372,1911914869.5066435
20,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
21,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
22,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5060358
23,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
24,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
25,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
26,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
27,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
28,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
29,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
30,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
31,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
32,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5060358
33,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
34,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
35,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
36,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
37,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
38,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
39,2024-02-01,57.665316584343735,0.0,21.56507581757937,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,6.277874503318637,19.538167076084424,111.81635639065259,45.20979278013967,110463124.81131165,0.0,41312143.01614482,12025601.605747832,37425379.995428436,214195659.6145293,1911914869.5066435
40,2024-03-01,80.69075833315533,0.0,29.195228476055416,571.32066138021,0.491188283474827,142.10249895124346,64.64498341934936,10594.802205673494,7.230908125693783,26.817835930530688,129.263142191528,51.36236018154626,154571620.06757766,0.0,55928425.55389125,13850901.958695274,51369961.71624502,247617990.45327574,1911914869.5066435
