,Date,precip_and_snowmelt_input_Muddy_mean,irrigation_Muddy_mean,AET_Muddy_mean,soil_thickness_Muddy_mean,soil_porosity_Muddy_mean,field_capacity_Muddy_mean,wilting_point_Muddy_mean,Geo_K_Muddy_mean,Runoff_Muddy_mean,Recharge_Muddy_mean,Soil_Water_End_Of_Previous_Timestep_Muddy_mean,Soil_Saturation_Percent_End_Of_Timestep_Muddy_mean,precip_and_snowmelt_input_m3_Muddy_sum,irrigation_m3_Muddy_sum,AET_m3_Muddy_sum,Runoff_m3_Muddy_sum,Recharge_m3_Muddy_sum,Soil_Water_End_Of_Previous_Timestep_m3_Muddy_sum,Muddy_area_m2
0,2024-01-01,26.306769943373375,0.0,8.222307473645673,329.31753828183645,0.47755723656876226,69.49978695536407,37.05830635789165,11669.686712086055,0.8096977430898661,10.915227915065563,69.1902292787727,39.391934897850746,171430837.66292885,0.0,53581803.60337114,5276449.832774674,71129966.07358968,450885237.853113,6510466234.256358
1,2024-01-01,26.306769943373375,0.0,8.222307473645673,329.31753828183645,0.47755723656876226,69.49978695536407,37.05830635789165,11669.686712086055,0.8096977430898661,10.915227915065563,69.1902292787727,39.391934897850746,171430837.66292885,0.0,53581803.60337114,5276449.832774674,71129966.07358968,450885237.853113,6510466234.256358
2,2024-01-01,26.306769943373375,0.0,8.222307473645673,329.31753828183645,0.47755723656876226,69.49978695536407,37.05830635789165,11669.686712086055,0.8096977430898661,10.915227915065563,69.1902292787727,39.391934897850746,171430837.66292885,0.0,53581803.60337114,5276449.832774674,71129966.07358968,450885237.853113,6510466234.253152
3,2024-01-01,26.306769943373375,0.0,8.222307473645673,329.31753828183645,0.47755723656876226,69.49978695536407,37.05830635789165,11669.686712086055,0.8096977430898661,10.915227915065563,69.1902292787727,39.391934897850746,171430837.66292885,0.0,53581803.60337114,5276449.832774674,71129966.07358968,450885237.853113,6510466234.256358
4,2024-01-01,26.306769943373375,0.0,8.222307473645673,329.31753828183645,0.47755723656876226,69.49978695536407,37.05830635789165,11669.686712086055,0.8096977430898661,10.915227915065563,69.1902292787727,39.391934897850746,171430837.66292885,0.0,53581803.60337114,5276449.832774674,71129966.07358968,450885237.853113,6510466234.256358
5,2024-01-01,26.306769943373375,0.0,8.222307473645673,329.31753828183645,0.47755723656876226,69.49978695536407,37.05830635789165,11669.686712086055,0.8096977430898661,10.915227915065563,69.1902292787727,39.391934897850746,171430837.66292885,0.0,53581803.60337114,5276449.832774674,71129966.07358968,450885237.853113,6510466234.256358
6,2024-01-01,26.306769943373375,0.0,8.222307473645673,329.31753828183645,0.47755723656876226,69.49978695536407,37.05830635789165,11669.686712086055,0.8096977430898661,10.915227915065563,69.1902292787727,39.391934897850746,171430837.66292885,0.0,53581803.60337114,5276449.832774674,71129966.07358968,450885237.853113,6510466234.256358
7,2024-01-01,26.306769943373375,0.0,8.222307473645673,329.31753828183645,0.47755723656876226,69.49978695536407,37.05830635789165,11669.686712086055,0.8096977430898661,10.915227915065563,69.1902292787727,39.391934897850746,171430837.66292885,0.0,53581803.60337114,5276449.832774674,71129966.07358968,450885237.853113,6510466234.256358
8,2024-01-01,26.306769943373375,0.0,8.222307473645673,329.31753828183645,0.47755723656876226,69.49978695536407,37.05830635789165,11669.686712086055,0.8096977430898661,10.915227915065563,69.1902292787727,39.391934897850746,171430837.66292885,0.0,53581803.60337114,5276449.832774674,71129966.07358968,450885237.853113,6510466234.256358
9,2024-01-01,26.306769943373375,0.0,8.222307473645673,329.31753828183645,0.47755723656876226,69.49978695536407,37.05830635789165,11669.686712086055,0.8096977430898661,10.915227915065563,69.1902292787727,39.391934897850746,171430837.66292885,0.0,53581803.60337114,5276449.832774674,71129966.07358968,450885237.853113,6510466234.256358
