,Date,precip_and_snowmelt_input_Upper Colorado Dirty Devil_mean,irrigation_Upper Colorado Dirty Devil_mean,AET_Upper Colorado Dirty Devil_mean,soil_thickness_Upper Colorado Dirty Devil_mean,soil_porosity_Upper Colorado Dirty Devil_mean,field_capacity_Upper Colorado Dirty Devil_mean,wilting_point_Upper Colorado Dirty Devil_mean,Geo_K_Upper Colorado Dirty Devil_mean,Runoff_Upper Colorado Dirty Devil_mean,Recharge_Upper Colorado Dirty Devil_mean,Soil_Water_End_Of_Previous_Timestep_Upper Colorado Dirty Devil_mean,Soil_Saturation_Percent_End_Of_Timestep_Upper Colorado Dirty Devil_mean,precip_and_snowmelt_input_m3_Upper Colorado Dirty Devil_sum,irrigation_m3_Upper Colorado Dirty Devil_sum,AET_m3_Upper Colorado Dirty Devil_sum,Runoff_m3_Upper Colorado Dirty Devil_sum,Recharge_m3_Upper Colorado Dirty Devil_sum,Soil_Water_End_Of_Previous_Timestep_m3_Upper Colorado Dirty Devil_sum,Upper Colorado Dirty Devil_area_m2
0,2005-01-01,64.27404044407098,0.0,15.084205527939114,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,11.14714175918367,31.61129814396029,62.77939186834695,61.57947331436302,2020136478.7288244,0.0,474112532.3687814,350352967.3888838,993535777.0056176,1950005113.0802164,31518254720.043274
1,2005-02-01,43.650937927605256,0.0,16.629957537324653,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,5.034786345978105,22.78553238420945,61.56956014735132,59.69467939291794,1371960471.073725,0.0,522694861.2160264,158240967.3115342,716145480.0446675,1912428323.996338,31518254720.043274
2,2005-03-01,23.474258348966845,0.0,12.70816100456041,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,1.5557098096327295,13.784744611903024,56.98833147654039,47.15299702170797,737793950.7480421,0.0,399427132.44220984,48893782.73195621,433248765.1497195,1770126632.7725928,31518254720.043274
3,2005-04-01,28.941803690294186,0.281720402257032,14.783668851065475,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,1.7498298813856221,13.39013715423528,56.16364530881047,46.27516713694368,909654985.0894351,8854736.494275974,464663666.49613845,54996383.45701267,420851260.91891396,1744513740.400443,31518254720.043274
4,2005-05-01,14.338188927940376,0.7324730191640856,12.745983850998055,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.3131966185744604,8.268337847074049,51.02362869072021,36.575363881231624,450656175.16017914,23022314.045775272,400615917.3680925,9844032.956211053,259873594.6251338,1584857902.1901803,31518254720.043274
5,2005-06-01,24.22641663657226,1.126881609028128,24.26667166942441,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.9815096389808466,10.906417943783989,45.95293695402756,31.941260478643773,761453596.5498623,35418945.9771039,762722745.1382608,30849725.31975466,342790104.665589,1427355649.4114487,31518254720.043274
6,2005-07-01,14.98816652609056,1.4649460383281712,17.703692859308287,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.3533596669124297,7.259883585180369,42.375516314563576,28.92238258394204,471078693.4325252,46044628.091550544,556437757.5484772,11106272.130690476,228173845.85029224,1316233763.0282245,31518254720.043274
7,2005-08-01,34.95930876059345,1.1832256824739218,30.180048960433595,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,2.103442861138752,12.597201708688198,39.99814429341251,29.17921541762356,1098769561.8529706,37189893.05578924,948581882.8375376,66108490.20802547,395919981.4322901,1242386188.0905974,31518254720.043274
8,2005-09-01,27.235442880379132,0.563440804514064,18.510457095567016,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,1.070273736280905,9.824203091173715,41.59534463160014,33.537575604532236,856027721.9072027,17709472.98855195,581800883.0529695,33639651.3833531,308771058.8951901,1292002021.7806015,31518254720.043274
9,2005-10-01,32.86226477733513,0.281720402257032,15.87763100524465,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,2.1813285452477293,11.975801321035403,45.36636473285299,41.5452391303379,1032875591.5445855,8854736.494275974,499046355.8665903,68558126.86781132,376399418.13371557,1409137058.237735,31518254720.043274
10,2005-11-01,5.350509005093664,0.0,3.8059974658243343,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.035296044367416714,4.696027696343704,42.77702072817088,32.799174953896575,168170229.53202412,0.0,119625255.93748571,1109412.7868304662,147596899.7326046,1328708723.7191906,31518254720.043274
11,2005-12-01,11.55319030753785,0.0,4.316751855057538,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.36979011758023506,6.537866963797757,43.47373199837009,32.01817159877104,363116553.7194844,0.0,135677548.56261456,11623017.372429665,205482718.2269939,1350349453.3250456,31518254720.043274
12,2006-01-01,8.357127123720064,0.0,6.638593912084982,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.2861060375472987,5.459431292910101,40.756403219549185,25.804438404954368,262661965.53691328,0.0,208656565.69524953,8992749.438518263,171587181.7452943,1265941715.7507591,31518254720.043274
13,2006-02-01,7.773138343983002,0.0,2.7021955280839496,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.1339880847530524,5.358081981392789,41.08337794347757,26.307678909598266,244309247.89849946,0.0,84932316.70693845,4211425.698851869,168403259.80028433,1276097135.7562852,31518254720.043274
14,2006-03-01,50.164179570265006,0.0,18.905625555318608,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,3.437257928719186,20.075600952955874,49.093043969567226,40.79179026210087,1576658521.0995166,0.0,594220855.4562167,108029028.127758,630966453.4211191,1524882158.626814,31518254720.043274
15,2006-04-01,11.62416794019331,0.27120645073214167,7.863165876630492,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.38694956054139623,7.597112744881792,46.01022176878165,34.673328930251905,365349646.59476185,8524299.440713318,247144326.43376344,12161743.17162581,238775237.76479656,1429126919.58696,31518254720.043274
16,2006-05-01,0.3511976827616373,0.7051367792845701,7.109057455465888,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.06425314676974907,1.8890375533432124,40.903566440008404,25.430111630090654,11038236.108176475,22163178.77785525,223440404.92489225,2019622.2822489792,59372008.79251021,1270508576.512688,31518254720.043274
17,2006-06-01,4.301049655220224,1.0848258029285667,11.077924902695939,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.13554666347149621,1.7045568309378716,38.609000116738294,23.676115926836093,135182282.79863426,34097197.76285327,348183179.3478383,4260443.7640485875,53573093.21106297,1199235868.1981897,31518254720.043274
18,2006-07-01,26.647831968110648,1.4102735585691402,26.800336150360405,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,1.1960666426768285,10.735377847731128,37.23426343657936,25.50165405427295,837537435.0408576,44326357.5557105,842354211.1946812,37590410.42105308,337406517.4648025,1156531195.9828796,31518254720.043274
19,2006-08-01,21.21133367199223,1.1390671039466054,23.599251758914665,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.9428318097358118,8.949813846379087,35.09477820157089,24.055473257672965,666678228.0829087,35802057.99272452,741745541.2208527,29632659.45770481,281288883.55874574,1090075046.3123999,31518254720.043274
20,2006-09-01,25.715445295688895,0.5424129014642833,18.075021888105695,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.9706016694204535,10.49243686555484,35.60402879997636,26.26414930689928,808240920.0675861,17048598.881426636,568109827.8146663,30505632.20810797,329772545.8128487,1105893857.3887944,31518254720.043274
21,2006-10-01,117.1125703395341,0.27120645073214167,29.698583553629472,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,20.639149351122335,36.03129884063546,66.24487388874034,70.32264116448312,3680926118.9061766,8524299.440713318,933456273.7083745,648705992.5416347,1132471779.4117873,2057654405.032407,31518254720.043274
22,2006-11-01,8.328104661983094,0.0,3.463268437326593,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.09705481107418412,16.010594091988988,54.8636800558253,44.44979866276762,261746972.34580085,0.0,108852884.19620164,3050186.5616810066,503212726.91817045,1704134655.8035989,31518254720.043274
23,2006-12-01,10.276984908478541,0.0,6.855745396755329,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.06382662021321091,6.766779393900948,51.49302306973764,36.849841662643776,323010222.86091805,0.0,215481963.39145803,2005998.9850729234,212678225.00442582,1599438654.388231,31518254720.043274
24,2007-01-01,12.972289435603598,0.0,3.91684093078264,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.06839939370524335,8.696863832098334,51.94668021965339,36.96135406228845,407719461.0760765,0.0,123109973.41080262,2149672.044710505,273339364.675561,1613529797.4470608,31518254720.06325
25,2007-02-01,15.711807526200294,0.0,4.689671111546182,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.14303832260979016,10.251317421686958,52.51474134573675,38.24381095836945,493825840.1976164,0.0,147399414.0266935,4495523.783108229,322199050.4542309,1631174904.3183749,31518254720.06325
26,2007-03-01,16.491885126812793,0.0,10.38642532897086,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.1860879378889486,8.123742699767533,50.67231106068407,35.76156602546997,518350754.90983635,0.0,326454876.64847904,5848851.453701134,255330981.93168396,1573946616.0787354,31518254720.06325
27,2007-04-01,20.489588893030586,0.24134317330538094,13.993188341593298,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.3311737663126245,8.888197564663926,49.04508841279872,34.631490944945845,643995113.5916251,7585584.837206082,439816548.5175811,10408704.29559376,279354019.7956633,1523402615.64369,31518254720.06325
28,2007-05-01,7.434885908128264,0.6274922414246604,10.620009124830368,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.04371378216577738,4.211204466603772,44.90509873971506,28.86261457642994,233679583.2568558,19722520.288524214,333792339.930809,1373941.9822511994,132356532.07399812,1394808397.9505124,31518254720.06325
29,2007-06-01,2.479214724498972,0.9653726932215237,9.537375470038643,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.05009194845277835,2.0626987373153516,41.40178466505823,25.026227430177205,77921251.47593577,30342339.34882433,299762105.18247855,1574430.7020427515,64830202.65375495,1285988710.8311,31518254720.06325
30,2007-07-01,27.670989517622587,1.2549844828493208,25.95652270544477,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.6353390499413035,11.078538369202132,39.712590131820534,27.17819803061761,869702993.7221599,39445040.57704843,815833290.7427349,19968370.565817606,348193035.9590007,1233516814.1190119,31518254720.06325
31,2007-08-01,41.11751941261976,1.013641326508389,31.447891949422353,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,2.5447450113430965,13.746193357311736,39.47219907879631,29.911366651847864,1292341173.0583243,31859456.273072284,988434296.026676,79979637.59175348,432039133.01020145,1226050296.3246272,31518254720.06325
32,2007-09-01,26.652226017558558,0.4826863466107619,19.792966738569863,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,1.3331207537638359,9.963705626146586,39.3343432083932,31.184511794008188,837689537.6584183,15171169.674412165,622107782.8226768,41898304.2518142,313156810.3759565,1221768974.5806386,31518254720.06325
33,2007-10-01,9.846476261678355,0.24134317330538094,9.03033619031589,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.09300427992199066,5.382543194079538,37.54742420229137,26.911432372879027,309477140.90628743,7585584.837206082,283830398.7099595,2923201.576167255,169171499.59831217,1166264118.7531772,31518254720.06325
34,2007-11-01,11.565972627685358,0.0,4.7411846996522415,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,0.13994245730821092,5.531142522260164,39.48793202191092,30.40216205170344,363516650.1933429,0.0,149017772.29907575,4398320.25835512,173839985.27348495,1226538749.9117706,31518254720.06325
35,2007-12-01,32.8771625175071,0.0,13.087426438234592,271.77014533050277,0.4606438469151232,53.301167331285725,25.216044620867123,13139.121424562605,1.034447811091875,14.305541365882577,44.665708455245834,36.11733873386616,1033327752.7687862,0.0,411352327.64347154,32510882.67931598,449615326.9595084,1387361668.850039,31518254720.06325
