,Date,precip_and_snowmelt_input_Bear Lake_mean,irrigation_Bear Lake_mean,AET_Bear Lake_mean,soil_thickness_Bear Lake_mean,soil_porosity_Bear Lake_mean,field_capacity_Bear Lake_mean,wilting_point_Bear Lake_mean,Geo_K_Bear Lake_mean,Runoff_Bear Lake_mean,Recharge_Bear Lake_mean,Soil_Water_End_Of_Previous_Timestep_Bear Lake_mean,Soil_Saturation_Percent_End_Of_Timestep_Bear Lake_mean,precip_and_snowmelt_input_m3_Bear Lake_sum,irrigation_m3_Bear Lake_sum,AET_m3_Bear Lake_sum,Runoff_m3_Bear Lake_sum,Recharge_m3_Bear Lake_sum,Soil_Water_End_Of_Previous_Timestep_m3_Bear Lake_sum,Bear Lake_area_m2
0,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
1,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
2,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611425
3,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
4,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
5,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611425
6,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
7,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
8,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
9,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
10,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
11,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611425
12,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
13,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
14,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
15,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
16,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611425
17,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
18,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
19,2024-01-01,74.8620331255449,0.0,9.592750996737948,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,1.8641531482141818,47.80729931923637,110.67956994878513,54.50834266420198,87196389.43600014,0.0,11173293.068564711,2171267.739047337,55684005.35050721,99562651.32152122,1120793251.2611263
20,2024-02-01,91.23458003429593,0.0,17.51612903225806,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,4.615996124962229,61.6944740378922,121.17971086541591,60.44948069076284,106266567.31703787,0.0,20402163.14842354,5376460.394242701,71859443.36545213,109008099.9045571,1120793251.2611263
21,2024-02-01,91.23458003429593,0.0,17.51612903225806,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,4.615996124962229,61.6944740378922,121.17971086541591,60.44948069076284,106266567.31703787,0.0,20402163.14842354,5376460.394242701,71859443.36545213,109008099.9045571,1120793251.2611425
22,2024-02-01,91.23458003429593,0.0,17.51612903225806,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,4.615996124962229,61.6944740378922,121.17971086541591,60.44948069076284,106266567.31703787,0.0,20402163.14842354,5376460.394242701,71859443.36545213,109008099.9045571,1120793251.2611263
23,2024-02-01,91.23458003429593,0.0,17.51612903225806,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,4.615996124962229,61.6944740378922,121.17971086541591,60.44948069076284,106266567.31703787,0.0,20402163.14842354,5376460.394242701,71859443.36545213,109008099.9045571,1120793251.2611263
24,2024-02-01,91.23458003429593,0.0,17.51612903225806,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,4.615996124962229,61.6944740378922,121.17971086541591,60.44948069076284,106266567.31703787,0.0,20402163.14842354,5376460.394242701,71859443.36545213,109008099.9045571,1120793251.2611263
25,2024-02-01,91.23458003429593,0.0,17.51612903225806,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,4.615996124962229,61.6944740378922,121.17971086541591,60.44948069076284,106266567.31703787,0.0,20402163.14842354,5376460.394242701,71859443.36545213,109008099.9045571,1120793251.2611263
26,2024-02-01,91.23458003429593,0.0,17.51612903225806,389.8164823901402,0.5072296615029729,100.56480032922822,53.68500656524619,8032.44966650306,4.615996124962229,61.6944740378922,121.17971086541591,60.44948069076284,106266567.31703787,0.0,20402163.14842354,5376460.394242701,71859443.36545213,109008099.9045571,1120793251.2611263
