,Date,precip_and_snowmelt_input_Lower Virgin_mean,irrigation_Lower Virgin_mean,AET_Lower Virgin_mean,soil_thickness_Lower Virgin_mean,soil_porosity_Lower Virgin_mean,field_capacity_Lower Virgin_mean,wilting_point_Lower Virgin_mean,Geo_K_Lower Virgin_mean,Runoff_Lower Virgin_mean,Recharge_Lower Virgin_mean,Soil_Water_End_Of_Previous_Timestep_Lower Virgin_mean,Soil_Saturation_Percent_End_Of_Timestep_Lower Virgin_mean,precip_and_snowmelt_input_m3_Lower Virgin_sum,irrigation_m3_Lower Virgin_sum,AET_m3_Lower Virgin_sum,Runoff_m3_Lower Virgin_sum,Recharge_m3_Lower Virgin_sum,Soil_Water_End_Of_Previous_Timestep_m3_Lower Virgin_sum,Lower Virgin_area_m2
0,2024-01-01,38.90772579662433,0.0,20.423668827295508,332.14246930878664,0.4621841094718945,67.45919754520777,26.218846089940044,11124.55291174344,0.3675473292754456,7.614297537746565,38.60981391630302,25.647674579398384,85288049.0970554,0.0,43292141.998282366,806006.4216763111,16691862.80193942,81843621.83740027,2266283561.0015454
1,2024-01-01,38.90772579662433,0.0,20.423668827295508,332.14246930878664,0.4621841094718945,67.45919754520777,26.218846089940044,11124.55291174344,0.3675473292754456,7.614297537746565,38.60981391630302,25.647674579398384,85288049.0970554,0.0,43292141.998282366,806006.4216763111,16691862.80193942,81843621.83740027,2266283561.0015454
2,2024-01-01,38.90772579662433,0.0,20.423668827295508,332.14246930878664,0.4621841094718945,67.45919754520777,26.218846089940044,11124.55291174344,0.3675473292754456,7.614297537746565,38.60981391630302,25.647674579398384,85288049.0970554,0.0,43292141.998282366,806006.4216763111,16691862.80193942,81843621.83740027,2266283561.0015454
3,2024-01-01,38.90772579662433,0.0,20.423668827295508,332.14246930878664,0.4621841094718945,67.45919754520777,26.218846089940044,11124.55291174344,0.3675473292754456,7.614297537746565,38.60981391630302,25.647674579398384,85288049.0970554,0.0,43292141.998282366,806006.4216763111,16691862.80193942,81843621.83740027,2266283561.0015454
4,2024-01-01,38.90772579662433,0.0,20.423668827295508,332.14246930878664,0.4621841094718945,67.45919754520777,26.218846089940044,11124.55291174344,0.3675473292754456,7.614297537746565,38.60981391630302,25.647674579398384,85288049.0970554,0.0,43292141.998282366,806006.4216763111,16691862.80193942,81843621.83740027,2266283561.0015454
5,2024-01-01,38.90772579662433,0.0,20.423668827295508,332.14246930878664,0.4621841094718945,67.45919754520777,26.218846089940044,11124.55291174344,0.3675473292754456,7.614297537746565,38.60981391630302,25.647674579398384,85288049.0970554,0.0,43292141.998282366,806006.4216763111,16691862.80193942,81843621.83740027,2266283561.0015454
6,2024-01-01,38.90772579662433,0.0,20.423668827295508,332.14246930878664,0.4621841094718945,67.45919754520777,26.218846089940044,11124.55291174344,0.3675473292754456,7.614297537746565,38.60981391630302,25.647674579398384,85288049.0970554,0.0,43292141.998282366,806006.4216763111,16691862.80193942,81843621.83740027,2266283561.0015454
7,2024-01-01,38.90772579662433,0.0,20.423668827295508,332.14246930878664,0.4621841094718945,67.45919754520777,26.218846089940044,11124.55291174344,0.3675473292754456,7.614297537746565,38.60981391630302,25.647674579398384,85288049.0970554,0.0,43292141.998282366,806006.4216763111,16691862.80193942,81843621.83740027,2266283561.0015454
8,2024-01-01,38.90772579662433,0.0,20.423668827295508,332.14246930878664,0.4621841094718945,67.45919754520777,26.218846089940044,11124.55291174344,0.3675473292754456,7.614297537746565,38.60981391630302,25.647674579398384,85288049.0970554,0.0,43292141.998282366,806006.4216763111,16691862.80193942,81843621.83740027,2266283561.003305
9,2024-01-01,38.90772579662433,0.0,20.423668827295508,332.14246930878664,0.4621841094718945,67.45919754520777,26.218846089940044,11124.55291174344,0.3675473292754456,7.614297537746565,38.60981391630302,25.647674579398384,85288049.0970554,0.0,43292141.998282366,806006.4216763111,16691862.80193942,81843621.83740027,2266283561.0015454
