,Date,precip_and_snowmelt_input_Lower White_mean,irrigation_Lower White_mean,AET_Lower White_mean,soil_thickness_Lower White_mean,soil_porosity_Lower White_mean,field_capacity_Lower White_mean,wilting_point_Lower White_mean,Geo_K_Lower White_mean,Runoff_Lower White_mean,Recharge_Lower White_mean,Soil_Water_End_Of_Previous_Timestep_Lower White_mean,Soil_Saturation_Percent_End_Of_Timestep_Lower White_mean,precip_and_snowmelt_input_m3_Lower White_sum,irrigation_m3_Lower White_sum,AET_m3_Lower White_sum,Runoff_m3_Lower White_sum,Recharge_m3_Lower White_sum,Soil_Water_End_Of_Previous_Timestep_m3_Lower White_sum,Lower White_area_m2
0,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
1,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1062098
2,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1062098
3,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
4,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1062098
5,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
6,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
7,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
8,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
9,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
10,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
11,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
12,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
13,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
14,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
15,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
16,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
17,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
18,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
19,2024-01-01,3.5164251061873477,0,2.5350740093775856,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,2.1901411034307707,61.66528410374128,34.769474355298534,13110119.144708088,0,9308082.430823535,0.0,8165464.770022127,226411108.92138612,3726250605.1066275
20,2024-02-01,23.593191896023285,0,9.563137813735406,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,12.506096353956536,63.50536638767827,35.61984899057927,87964810.13574454,0,35112862.19568628,0.0,46627286.39152936,233167035.03304225,3726250605.1066275
