,Date,precip_and_snowmelt_input_Escalante_mean,irrigation_Escalante_mean,AET_Escalante_mean,soil_thickness_Escalante_mean,soil_porosity_Escalante_mean,field_capacity_Escalante_mean,wilting_point_Escalante_mean,Geo_K_Escalante_mean,Runoff_Escalante_mean,Recharge_Escalante_mean,Soil_Water_End_Of_Previous_Timestep_Escalante_mean,Soil_Saturation_Percent_End_Of_Timestep_Escalante_mean,precip_and_snowmelt_input_m3_Escalante_sum,irrigation_m3_Escalante_sum,AET_m3_Escalante_sum,Runoff_m3_Escalante_sum,Recharge_m3_Escalante_sum,Soil_Water_End_Of_Previous_Timestep_m3_Escalante_sum,Escalante_area_m2
0,2024-01-01,22.299822111370737,0.0,5.59303916237791,312.01744691751713,0.4589903757760728,64.29030471859795,29.584329258938283,15718.141697047744,0.5069813204873426,15.555004759438724,58.61628877244724,40.82108052252297,117010800.06580736,0.0,29348161.540118378,2660273.9860857828,81619507.29439749,307480560.50846165,5244765854.955694
1,2024-01-01,22.299822111370737,0.0,5.59303916237791,312.01744691751713,0.4589903757760728,64.29030471859795,29.584329258938283,15718.141697047744,0.5069813204873426,15.555004759438724,58.61628877244724,40.82108052252297,117010800.06580736,0.0,29348161.540118378,2660273.9860857828,81619507.29439749,307480560.50846165,5244765854.955694
2,2024-01-01,22.299822111370737,0.0,5.59303916237791,312.01744691751713,0.4589903757760728,64.29030471859795,29.584329258938283,15718.141697047744,0.5069813204873426,15.555004759438724,58.61628877244724,40.82108052252297,117010800.06580736,0.0,29348161.540118378,2660273.9860857828,81619507.29439749,307480560.50846165,5244765854.955694
3,2024-01-01,22.299822111370737,0.0,5.59303916237791,312.01744691751713,0.4589903757760728,64.29030471859795,29.584329258938283,15718.141697047744,0.5069813204873426,15.555004759438724,58.61628877244724,40.82108052252297,117010800.06580736,0.0,29348161.540118378,2660273.9860857828,81619507.29439749,307480560.50846165,5244765854.955694
4,2024-01-01,22.299822111370737,0.0,5.59303916237791,312.01744691751713,0.4589903757760728,64.29030471859795,29.584329258938283,15718.141697047744,0.5069813204873426,15.555004759438724,58.61628877244724,40.82108052252297,117010800.06580736,0.0,29348161.540118378,2660273.9860857828,81619507.29439749,307480560.50846165,5244765854.955694
5,2024-01-01,22.299822111370737,0.0,5.59303916237791,312.01744691751713,0.4589903757760728,64.29030471859795,29.584329258938283,15718.141697047744,0.5069813204873426,15.555004759438724,58.61628877244724,40.82108052252297,117010800.06580736,0.0,29348161.540118378,2660273.9860857828,81619507.29439749,307480560.50846165,5244765854.955694
6,2024-01-01,22.299822111370737,0.0,5.59303916237791,312.01744691751713,0.4589903757760728,64.29030471859795,29.584329258938283,15718.141697047744,0.5069813204873426,15.555004759438724,58.61628877244724,40.82108052252297,117010800.06580736,0.0,29348161.540118378,2660273.9860857828,81619507.29439749,307480560.50846165,5244765854.955694
7,2024-01-01,22.299822111370737,0.0,5.59303916237791,312.01744691751713,0.4589903757760728,64.29030471859795,29.584329258938283,15718.141697047744,0.5069813204873426,15.555004759438724,58.61628877244724,40.82108052252297,117010800.06580736,0.0,29348161.540118378,2660273.9860857828,81619507.29439749,307480560.50846165,5244765854.955694
8,2024-01-01,22.299822111370737,0.0,5.59303916237791,312.01744691751713,0.4589903757760728,64.29030471859795,29.584329258938283,15718.141697047744,0.5069813204873426,15.555004759438724,58.61628877244724,40.82108052252297,117010800.06580736,0.0,29348161.540118378,2660273.9860857828,81619507.29439749,307480560.50846165,5244765854.955694
9,2024-01-01,22.299822111370737,0.0,5.59303916237791,312.01744691751713,0.4589903757760728,64.29030471859795,29.584329258938283,15718.141697047744,0.5069813204873426,15.555004759438724,58.61628877244724,40.82108052252297,117010800.06580736,0.0,29348161.540118378,2660273.9860857828,81619507.29439749,307480560.50846165,5244765854.955694
