,Date,precip_and_snowmelt_input_Utah_Statewide_mean,irrigation_Utah_Statewide_mean,AET_Utah_Statewide_mean,soil_thickness_Utah_Statewide_mean,soil_porosity_Utah_Statewide_mean,field_capacity_Utah_Statewide_mean,wilting_point_Utah_Statewide_mean,Geo_K_Utah_Statewide_mean,Runoff_Utah_Statewide_mean,Recharge_Utah_Statewide_mean,Soil_Water_End_Of_Previous_Timestep_Utah_Statewide_mean,Soil_Saturation_Percent_End_Of_Timestep_Utah_Statewide_mean,precip_and_snowmelt_input_m3_Utah_Statewide_sum,irrigation_m3_Utah_Statewide_sum,AET_m3_Utah_Statewide_sum,Runoff_m3_Utah_Statewide_sum,Recharge_m3_Utah_Statewide_sum,Soil_Water_End_Of_Previous_Timestep_m3_Utah_Statewide_sum,Utah_Statewide_area_m2
0,2005-01-01,63.632895276424975,0.0,9.119107362456107,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,12.528486170531554,31.084041038888685,122.62246990014745,63.608673989612065,17578807277.94169,0.0,2519096540.6512966,3460711728.4419446,8587615423.710558,33109313738.087833,275976028683.40356
1,2005-02-01,41.75379555118437,0.0,11.360763647691657,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,7.761998211986941,22.853148126047227,122.39983420397618,62.82570759807933,11534179691.620804,0.0,3138340163.359881,2143874096.1323047,6313523318.098591,33048972784.4776,275976028683.40356
2,2005-03-01,41.51464193385088,0.0,19.421100766215137,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,6.715791371398628,18.17279105506469,120.5569222305597,58.447463741070884,11468217079.204544,0.0,5364832071.674501,1855067183.4766765,5020396248.066059,32551281924.94616,275976028683.40356
3,2005-04-01,49.343169467849535,1.0905346879465803,26.00047942480084,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,7.972533128901573,19.162094520732943,119.72403947496127,56.193208028385946,13629312643.675522,301314585.89587724,7182329080.990518,2201840002.6248717,5293011073.719808,32326030102.7972,275976028683.40356
4,2005-05-01,48.94893886956504,2.835390191328053,39.952730157453615,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,6.284305939651435,14.749180046415262,114.19966642558785,49.94969986924476,13521506882.882118,783417924.0670223,11036546115.066738,1735852119.0177517,4074422282.22875,30834304538.224483,275976028683.40356
5,2005-06-01,33.61495261667986,4.362138751786321,56.23444794357146,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,2.6068520656093774,4.5071036420748785,98.43547950142246,41.09722143247425,9285941120.815666,1205258343.583509,15534676606.580994,720105432.2460073,1245184080.4949849,26577248159.871494,275976028683.40356
6,2005-07-01,9.301562560250543,5.670780382656106,60.357396129041454,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.4499868173255837,1.3342295145507916,77.35196419959915,29.03364758242745,2569313252.7252326,1566835848.1340446,16673865961.9318,400543485.97075486,368598848.412165,20883877336.625366,275976028683.40356
7,2005-08-01,24.305714355173528,4.58024568975148,43.53500545862149,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.8175123022229442,3.2077029622117736,77.03847303731578,31.497166325408617,6714164977.545131,1265521260.8682625,12026667728.72434,502076259.00651443,886186503.4153289,20799266924.06265,275976028683.40356
8,2005-09-01,22.61155786129821,2.1810693758931605,34.73044856430573,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.1791959644090915,3.836308829025622,76.40961725203162,32.13779566891865,6246991888.763011,602629171.7917545,9594347652.73776,325755536.0610471,1059908771.3541548,20629750946.033966,275976028683.40356
9,2005-10-01,33.32891832101552,1.0905346879465803,22.137350966460712,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,2.4816173148276714,5.48709593459283,84.67152313756347,37.85440246729493,9206592463.0318,301314585.89587724,6115507357.135619,685441012.1539054,1515821879.3977056,22860476933.7117,275976028683.40356
10,2005-11-01,16.9536058982607,0.0,15.218231539216559,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,0.4517329012066835,2.4522807160252253,87.15886895391664,36.487235260750914,4684131676.1274605,0.0,4203894750.4561086,124797763.57492378,677552282.3753194,23532795727.285904,275976028683.40356
11,2005-12-01,33.62212303950884,0.0,10.920699337940642,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,3.4584283865976473,9.553286693167752,98.40630052223749,42.343904500958665,9289097312.10983,0.0,3016761607.4565077,955479561.2984391,2639635372.1435843,26570474999.188766,275976028683.40356
12,2006-01-01,29.887809261906035,0.0,11.213311886146705,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,4.59008981807472,11.406792814410741,102.62887638953791,44.00912490661267,8257189722.910759,0.0,3097638788.3858633,1268135794.1742926,3151752134.3275084,27710703591.79167,275976028683.4041
13,2006-02-01,19.38619895526173,0.0,15.082566547367556,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,2.0933435626903494,7.207740662297185,100.98907667075675,42.19616409826496,5355537448.492295,0.0,4166507909.4385166,578242283.7600645,1991522288.0887408,27267714548.40003,275976028683.4041
14,2006-03-01,65.8012610740921,0.0,16.693831662664813,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,11.062909794237546,23.270151162033933,116.51483816983195,55.743084957145484,18177044710.45981,0.0,4611617170.420987,3055879553.523902,6428640371.023357,31459833226.15297,275976028683.4041
15,2006-04-01,34.9920178808651,1.1150768582617248,26.20467421642785,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,5.642882633454182,12.88657022800781,111.18472395509743,49.12573440721529,9666514955.835733,308094404.5486967,7238927335.718061,1558852036.3171988,3560222759.852702,30020395407.976208,275976028683.4041
16,2006-05-01,10.118589618360424,2.899199838988573,41.5705783641578,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,0.7290439796796635,2.2692202160907105,91.71822840450847,35.84506240650338,2795111226.8805227,801045453.9023277,11483804443.641787,201387042.16680756,626916405.0330865,24763612167.931076,275976028683.4041
17,2006-06-01,11.116535363051561,4.460307433046899,52.45569620522883,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.1473326818821996,1.1890478930242472,77.70649390593915,28.438006844879613,3070882972.9231305,1232377618.1947868,14491146165.27924,316944635.0772497,328482075.7764669,20979755575.264786,275976028683.4041
18,2006-07-01,25.89521640926707,5.798399677977146,47.81035375801973,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,2.7184978093017564,2.826371649617271,77.8768407678959,30.170686053110536,7152613309.574668,1602090907.8046553,13208060682.485552,750851151.516851,780719080.5013114,21025424686.402256,275976028683.4041
19,2006-08-01,15.270512442639474,4.683322752513543,42.544004333554405,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.5844665206771933,2.2916165388807466,74.38903373364043,28.702942749843917,4219283926.863908,1293996484.6835992,11752876248.737997,437761829.6535961,633177688.2955524,20084061690.243015,275976028683.4041
20,2006-09-01,34.7817492287404,2.2301537165234495,25.873657598843725,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,2.5999106867880437,5.368320491375086,83.18268599143295,35.34864934539829,9609437876.185837,616188809.0973934,7147678712.900471,718248314.5227526,1483206816.899621,22459093406.79565,275976028683.4041
21,2006-10-01,80.16213862327098,1.1150768582617248,17.776229308679305,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,15.275908505937224,22.562007469367778,109.78282118154021,56.84234222117382,22145733403.219643,308094404.5486967,4910643371.26435,4220160184.5863957,6233445573.27556,29642387620.727814,275976028683.4041
22,2006-11-01,18.795865485702397,0.0,14.451749233095873,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.1257245516247343,8.004642080423446,105.80372400222203,48.06616325512359,5193054519.247525,0.0,3992176311.852306,310991652.95938295,2211714448.0521655,28568135087.09992,275976028683.4041
23,2006-12-01,29.412109528289854,0.0,10.333565559676611,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,4.0363135558970775,10.476694839980956,110.90339119425616,49.921623140652635,8123966467.668473,0.0,2854599992.996685,1114642359.8189766,2894129702.130342,29944610365.95985,275976028683.4041
24,2007-01-01,18.65952637287175,0.0,8.843433685834189,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.9502885632938132,7.742142661615375,111.67779058412131,49.89784912930664,5154654423.922749,0.0,2442951830.0197735,538591230.1343848,2138869693.025238,30153774101.539627,275976028683.4041
25,2007-02-01,33.869439546509966,0.0,13.770657637312818,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,4.373828835252438,14.364056510364911,113.93033578078717,50.91726867335061,9356320434.668114,0.0,3804071525.881342,1208021795.683189,3968342373.8817515,30761970281.275322,275976028683.4041
26,2007-03-01,26.452781861738515,0.0,22.554306393047188,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,2.527125921652683,8.867842973875506,109.64991949022638,47.52862239973203,7307152357.249103,0.0,6230362134.267305,697860302.113998,2449761603.241838,29606066330.9781,275976028683.4041
27,2007-04-01,24.328629132747665,1.0995551865968787,28.092674073513567,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.406984333794534,5.173581078222845,105.18104530321025,44.90726899301298,6720292947.447217,303809658.09327203,7760498344.8875065,388547708.35643184,1429119294.6964755,28399147373.763504,275976028683.4041
28,2007-05-01,16.80813282376057,2.8588434852144005,41.77519228504588,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,0.8564165166113709,2.4697942129783894,91.03544064277264,36.1064588615581,4643467522.442329,789905111.0584795,11540457780.791693,236561842.00794515,682262857.0260109,24579313267.65648,275976028683.4041
29,2007-06-01,11.320111105965278,4.398220746387515,51.97453413779153,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.4805728766392867,1.1407734735199744,77.67794646546712,28.332920150431168,3126723081.233319,1215238632.3730881,14358426621.262974,408940727.84121066,315043706.3462367,20971814427.097572,275976028683.4041
30,2007-07-01,21.33393764743372,5.717686970428801,48.65988328595656,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,2.2947293085422524,2.5254232827146414,75.7266196720779,28.796551096587216,5893174272.198432,1579810222.116959,13442688618.857725,633878972.4824843,697634157.572211,20444872929.372543,275976028683.4041
31,2007-08-01,27.184200632989647,4.618131729405103,42.916828352957076,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,2.2243202535795925,4.317883424539613,77.2718151138442,32.28218900970381,7510254296.567182,1276000548.9867947,11856128593.118204,614490410.6722836,1192988693.5394673,20862442955.15302,275976028683.4041
32,2007-09-01,36.65127439012952,2.1991103731937574,32.22473458211798,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,2.538052963927278,5.9778685203295145,82.92761185263643,36.31763813602006,10124893552.35895,607619316.1865441,8902128955.887133,701025063.39489,1651436853.2709808,22389681723.218113,275976028683.4041
33,2007-10-01,21.785250581634617,1.0995551865968787,22.66213907187476,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.6327532764805517,3.7533103036570847,84.38356561178972,34.74424209536528,6018954358.259539,303809658.09327203,6260382721.881909,451080985.78388476,1036966336.7121753,22783260318.634335,275976028683.4041
