,Date,precip_and_snowmelt_input_Utah_Statewide_mean,irrigation_Utah_Statewide_mean,AET_Utah_Statewide_mean,soil_thickness_Utah_Statewide_mean,soil_porosity_Utah_Statewide_mean,field_capacity_Utah_Statewide_mean,wilting_point_Utah_Statewide_mean,Geo_K_Utah_Statewide_mean,Runoff_Utah_Statewide_mean,Recharge_Utah_Statewide_mean,Soil_Water_End_Of_Previous_Timestep_Utah_Statewide_mean,Soil_Saturation_Percent_End_Of_Timestep_Utah_Statewide_mean,precip_and_snowmelt_input_m3_Utah_Statewide_sum,irrigation_m3_Utah_Statewide_sum,AET_m3_Utah_Statewide_sum,Runoff_m3_Utah_Statewide_sum,Recharge_m3_Utah_Statewide_sum,Soil_Water_End_Of_Previous_Timestep_m3_Utah_Statewide_sum,Utah_Statewide_area_m2
0,2005-01-01,66.10320528678186,0.0,5.739405665218257,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,10.692066991509883,36.49720604795066,118.25091936500652,60.80632130295231,18261809030.276516,0.0,1579185194.9917445,2953763999.7235446,10083180785.44412,31867764174.469566,275976028683.4041
1,2005-02-01,40.46563603166311,0.0,9.110527976895744,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,5.33628864349753,26.20593321529835,117.80675447053628,59.97325563354964,11178438600.639988,0.0,2506750293.4738045,1474044891.0018954,7239811091.764904,31747644469.012405,275976028683.4041
2,2005-03-01,40.88357581932457,0.0,21.29635214122652,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,4.433968400801277,19.135170491616535,114.0435448752226,55.73270668661387,11294164631.569136,0.0,5859469142.893451,1224970211.5248158,5286469748.544949,30733434756.843468,275976028683.4041
3,2005-04-01,48.85455459454303,1.058957370326473,29.236262598720213,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,5.107844917229509,17.932113056778483,111.70940907260827,52.48850222817356,13494720245.389471,292591139.6276599,8044473143.444217,1410778173.1200843,4953432506.05514,30103791112.228073,275976028683.4041
4,2005-05-01,48.454407263624624,2.7532891673902506,37.48302989463406,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,5.807943869150466,14.768100381579513,106.04529383300235,47.48324787795352,13385056593.254543,760736964.2881224,10313810294.316612,1604194979.505919,4079684438.376153,28577154750.501873,275976028683.4041
5,2005-06-01,35.00843187212375,4.235829481305892,45.9428079982799,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,3.0226649631510534,6.226482426006674,96.66573914534249,42.38527843027156,9671198957.455011,1170364558.5106397,12642325009.235088,834827554.482197,1720117428.8097973,26049000675.7219,275976028683.4041
6,2005-07-01,11.014481989850875,5.506578334780501,48.548585719758414,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,1.3980348005260317,1.5938702105037783,78.09140935488314,32.41598149166226,3042705294.1620646,1521473928.5762448,13359666077.039911,386152703.0723206,440305156.43172204,21042442321.065273,275976028683.4041
7,2005-08-01,26.397751180226557,4.4476209549287224,42.8054264709536,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,1.959611126358498,3.628413834516263,75.55921224268157,32.59700671362353,7292310355.216517,1228882786.315931,11778474875.297209,541271709.4415278,1002452426.825122,20360167935.91274,275976028683.4041
8,2005-09-01,22.08345550332166,2.117914740652946,29.159705504100646,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,1.1514837075886744,4.081465634460159,75.70676548827018,33.60402681635234,6101123191.40377,585182279.2553198,8023460434.562369,318078172.43855125,1127684273.370476,20400238471.078056,275976028683.4041
9,2005-10-01,33.28149111926129,1.058957370326473,18.844423805903126,403.9867797553996,0.48392987652129377,89.60391039313865,44.51157053545666,10337.660997336005,2.5401971341896377,6.649491640577004,84.29054342769079,39.19139817691511,9193734626.559164,292591139.6276599,5185125648.074811,701581831.1059431,1836992629.2475195,22713657878.944157,275976028683.4041
