,Date,precip_and_snowmelt_input_Utah_Statewide_mean,irrigation_Utah_Statewide_mean,AET_Utah_Statewide_mean,soil_thickness_Utah_Statewide_mean,soil_porosity_Utah_Statewide_mean,field_capacity_Utah_Statewide_mean,wilting_point_Utah_Statewide_mean,Geo_K_Utah_Statewide_mean,Runoff_Utah_Statewide_mean,Recharge_Utah_Statewide_mean,Soil_Water_End_Of_Previous_Timestep_Utah_Statewide_mean,Soil_Saturation_Percent_End_Of_Timestep_Utah_Statewide_mean,precip_and_snowmelt_input_m3_Utah_Statewide_sum,irrigation_m3_Utah_Statewide_sum,AET_m3_Utah_Statewide_sum,Runoff_m3_Utah_Statewide_sum,Recharge_m3_Utah_Statewide_sum,Soil_Water_End_Of_Previous_Timestep_m3_Utah_Statewide_sum,Utah_Statewide_area_m2
0,2005-01-01,63.632895276424975,0.0,15.45483763991814,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,8.409622016673051,24.94577897901583,96.33853754006417,52.61723333224575,17578807277.94169,0.0,4269149015.975459,2323047625.5975685,6891798979.974252,26013508513.268078,275976028683.4041
1,2005-02-01,41.75379555118437,0.0,21.03597803305448,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,3.81261935162752,18.00945973655572,95.44176756077432,50.55647882067401,11534179691.620804,0.0,5810640639.199293,1053081996.9755446,4975558801.678238,25771284607.50311,275976028683.4041
2,2005-03-01,41.51464193385088,0.0,35.02726937478129,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,2.8434972561578973,13.043454462690722,87.89163040111603,41.64683658101538,11468217079.204544,0.0,9675419957.740692,785693957.327848,3603715511.025157,23732471809.54491,275976028683.4041
3,2005-04-01,49.343169467849535,1.0905346879465803,51.70068391131486,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,2.0120533853907685,9.453834130396666,79.5607427245897,35.06158624423974,13629312643.675522,301314585.89587724,14281320653.762703,555905481.2372248,2611645540.8746924,21482144070.412407,275976028683.4041
4,2005-05-01,48.94893886956504,2.835390191328053,67.6421734522616,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.683302603087768,4.795135463050585,65.9568773491943,26.968756570306965,13521506882.882118,783417924.0670223,18684860468.58749,465133424.98463476,1324808038.6620147,17809287565.92199,275976028683.4041
5,2005-06-01,33.61495261667986,4.362138751786321,61.63918304344094,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.348541830039835,1.5628056040087792,51.471628782243705,20.12163393395495,9285941120.815666,1205258343.583509,17027802169.605154,372589202.5010917,431815890.447453,13897715750.187122,275976028683.4041
6,2005-07-01,9.301562560250543,5.670780382656106,52.51780350763056,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.3015040558186453,0.690739609540495,36.468418701756306,13.057009513190183,2569313252.7252326,1566835848.1340446,14508717941.899813,359572154.7032067,190844864.6914667,9845969878.334616,275976028683.4041
7,2005-08-01,24.305714355173528,4.58024568975148,44.008615531060805,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,1.3473032463176051,1.2079376265624444,37.107764600231356,16.162597704610583,6714164977.545131,1265521260.8682625,12157919014.31971,372220279.41100764,333748854.7823498,10018648227.0675,275976028683.4041
8,2005-09-01,22.61155786129821,2.1810693758931605,33.891625868366035,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,0.6039480651688051,1.666655508851713,37.722240066365295,18.21804098576887,6246991888.763011,602629171.7917545,9362228133.710041,166870934.8059608,460508362.3683243,10185195257.394957,275976028683.4041
9,2005-10-01,33.32891832101552,1.0905346879465803,32.96932957906795,408.6436849898673,0.48387698467053547,90.27623072380466,44.887598347637095,10409.09672879218,0.62996927727421,1.3773616699845284,41.43151683748625,19.684149265866836,9206592463.0318,301314585.89587724,9107570330.375578,174052315.9556629,380552682.9204515,11186690401.488665,275976028683.4041
