,Date,precip_and_snowmelt_input_White Yampa_mean,irrigation_White Yampa_mean,AET_White Yampa_mean,soil_thickness_White Yampa_mean,soil_porosity_White Yampa_mean,field_capacity_White Yampa_mean,wilting_point_White Yampa_mean,Geo_K_White Yampa_mean,Runoff_White Yampa_mean,Recharge_White Yampa_mean,Soil_Water_End_Of_Previous_Timestep_White Yampa_mean,Soil_Saturation_Percent_End_Of_Timestep_White Yampa_mean,precip_and_snowmelt_input_m3_White Yampa_sum,irrigation_m3_White Yampa_sum,AET_m3_White Yampa_sum,Runoff_m3_White Yampa_sum,Recharge_m3_White Yampa_sum,Soil_Water_End_Of_Previous_Timestep_m3_White Yampa_sum,White Yampa_area_m2
51,2009-04-01,51.52633453595551,0,62.774708099659804,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.051312080727485,22.171789072966696,10.769017268116668,192109775.32581308,0,230480966.10901964,0.0,191309.6169308526,81404503.85909338,3726250605.1066284
52,2009-05-01,32.53733214009175,0,38.22834880941437,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.06304890473722854,1.4420902000858524,26.967452060964717,14.005767028115688,121310641.70417248,0,140354723.3375216,235051.60755508117,5376594.388848025,99014622.4782821,3726250605.1066284
53,2009-06-01,35.01146049127111,0,51.42886365725843,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.1628593209555641,2.0862161031498285,27.712372984556072,14.786917532008285,130534458.82923149,0,188822699.48784316,607153.2147223935,7778061.786565886,101749979.30898482,3726250605.1066284
54,2009-07-01,18.475718447584704,0,61.98096901719223,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.1782414276534217,20.99639516859977,10.360062464445457,68883669.57360107,0,227563902.22366273,0.0,664546.3969472968,77091416.18292779,3726250605.1066284
55,2009-08-01,8.450933502861666,0,26.467936931139104,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.41120392223835894,22.58531893716339,11.284364429499771,31508151.812693894,0,97176758.20150587,0.0,1533168.7147327985,82925343.2176323,3726250605.1066284
56,2009-09-01,20.407929703625186,0,33.98756550519445,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.21527437042565578,21.1924592513542,10.757914984318072,76087284.6643537,0,124788283.5336235,0.0,802614.3696632124,77810824.97521637,3726250605.1066284
57,2009-10-01,23.400350740253845,0,34.05870184793602,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0074176345573455415,0.338401350164051,20.996996851604248,10.658113209483176,87243880.95751041,0,125047908.6998274,27653.56407421762,1261705.0691953322,77092993.68258615,3726250605.1066284
58,2009-11-01,16.940794322656615,0,13.406545922588958,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.008434170409941722,0.2030481835576791,24.792552936152443,12.982738934432048,63160391.29493896,0,49224037.95844708,31443.295034429222,756971.6452638201,91027260.4387599,3726250605.1066284
59,2009-12-01,33.45290469258416,0,3.216856670037694,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.1497713829404557,2.9412520997802467,51.928924833711434,28.992389699043066,124724207.74637319,0,11811141.170956863,558360.2835389911,10965937.674185652,190660311.11388677,3726250605.1066284
60,2010-01-01,12.444034479843491,0,0.862393123103797,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0658752807541654,3.5929469989818483,59.81175788547229,33.472839861269826,46395766.169136085,0,3166195.5331137246,245588.57451913785,13395388.68527452,219603299.93035147,3726250605.1066284
61,2010-02-01,11.854381341988876,0,7.215477613312495,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.016675731197434207,4.825356931834905,59.6174630221867,32.97034207720677,44196762.73254923,0,26492050.76417255,62168.525233696644,17989765.633873884,218890341.96582204,3726250605.1066284
62,2010-03-01,18.373073868565662,0,42.310218810333716,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,1.6548260741062206,38.86343509533854,19.293977873991786,68498666.325784,0,155343076.7393568,0.0,6169509.038256024,142690097.44222054,3726250605.1066284
63,2010-04-01,26.805377038216932,0,86.59628114369772,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.3398095717802881,16.41891120807806,7.391217752443837,99939368.17938933,0,317943479.0927845,0.0,1266852.1215082363,60283867.78559739,3726250605.1066284
64,2010-05-01,10.79235825528397,0,54.254941619932,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.02083012471694171,10.65999870912063,4.584061361503995,40237435.37582386,0,199198520.52701184,0.0,77668.86645468375,39139734.25746107,3726250605.1066284
65,2010-06-01,18.993959189981304,0,35.212144892893264,371.01641099050755,0.47767195999399753,79.47029430852052,41.69607735925673,8849.840936316818,0.0,0.09254175964494102,14.24168020103696,6.800961404804024,70816052.77723546,0,129280635.8928863,0.0,345075.9493514402,52291323.02744783,3726250605.1066284
