,Date,precip_and_snowmelt_input_Rush-Tooele Valleys_mean,irrigation_Rush-Tooele Valleys_mean,AET_Rush-Tooele Valleys_mean,soil_thickness_Rush-Tooele Valleys_mean,soil_porosity_Rush-Tooele Valleys_mean,field_capacity_Rush-Tooele Valleys_mean,wilting_point_Rush-Tooele Valleys_mean,Geo_K_Rush-Tooele Valleys_mean,Runoff_Rush-Tooele Valleys_mean,Recharge_Rush-Tooele Valleys_mean,Soil_Water_End_Of_Previous_Timestep_Rush-Tooele Valleys_mean,Soil_Saturation_Percent_End_Of_Timestep_Rush-Tooele Valleys_mean,precip_and_snowmelt_input_m3_Rush-Tooele Valleys_sum,irrigation_m3_Rush-Tooele Valleys_sum,AET_m3_Rush-Tooele Valleys_sum,Runoff_m3_Rush-Tooele Valleys_sum,Recharge_m3_Rush-Tooele Valleys_sum,Soil_Water_End_Of_Previous_Timestep_m3_Rush-Tooele Valleys_sum,Rush-Tooele Valleys_area_m2
98,2024-05-01,18.77195305833076,3.9948154770467705,65.376699314066,546.0611275675858,0.5023153328242647,132.05218300294027,65.80739820163319,4520.461500879409,0.18764207522049278,2.7753707100581084,123.97967459675071,41.910017235767704,58721126.00139181,12496230.142940862,204505174.51645824,586970.5371424428,8682011.746317707,380720954.9720115,3124954583.1617284
99,2024-05-01,18.77195305833076,3.9948154770467705,65.376699314066,546.0611275675858,0.5023153328242647,132.05218300294027,65.80739820163319,4520.461500879409,0.18764207522049278,2.7753707100581084,123.97967459675071,41.910017235767704,58721126.00139181,12496230.142940862,204505174.51645824,586970.5371424428,8682011.746317707,380720954.9720115,3124954583.1633735
100,2024-06-01,0.3982742956019401,6.145869989009448,54.21049357399344,546.0611275675858,0.5023153328242647,132.05218300294027,65.80739820163319,4520.461500879409,1.1899245025641472,0.4055118918490332,87.86073593921182,27.46737271902361,1245950.4757890385,19224969.526758686,169576482.07411104,3722235.2227050886,1268488.7120791439,269805765.13009363,3124954583.1633735
101,2024-06-01,0.3982742956019401,6.145869989009448,54.21049357399344,546.0611275675858,0.5023153328242647,132.05218300294027,65.80739820163319,4520.461500879409,1.1899245025641472,0.4055118918490332,87.86073593921182,27.46737271902361,1245950.4757890385,19224969.526758686,169576482.07411104,3722235.2227050886,1268488.7120791439,269805765.13009363,3124954583.1633735
102,2024-06-01,0.3982742956019401,6.145869989009448,54.21049357399344,546.0611275675858,0.5023153328242647,132.05218300294027,65.80739820163319,4520.461500879409,1.1899245025641472,0.4055118918490332,87.86073593921182,27.46737271902361,1245950.4757890385,19224969.526758686,169576482.07411104,3722235.2227050886,1268488.7120791439,269805765.13009363,3124954583.1633735
103,2024-06-01,0.3982742956019401,6.145869989009448,54.21049357399344,546.0611275675858,0.5023153328242647,132.05218300294027,65.80739820163319,4520.461500879409,1.1899245025641472,0.4055118918490332,87.86073593921182,27.46737271902361,1245950.4757890385,19224969.526758686,169576482.07411104,3722235.2227050886,1268488.7120791439,269805765.13009363,3124954583.1633735
104,2024-06-01,0.3982742956019401,6.145869989009448,54.21049357399344,546.0611275675858,0.5023153328242647,132.05218300294027,65.80739820163319,4520.461500879409,1.1899245025641472,0.4055118918490332,87.86073593921182,27.46737271902361,1245950.4757890385,19224969.526758686,169576482.07411104,3722235.2227050886,1268488.7120791439,269805765.13009363,3124954583.1633735
105,2024-06-01,0.3982742956019401,6.145869989009448,54.21049357399344,546.0611275675858,0.5023153328242647,132.05218300294027,65.80739820163319,4520.461500879409,1.1899245025641472,0.4055118918490332,87.86073593921182,27.46737271902361,1245950.4757890385,19224969.526758686,169576482.07411104,3722235.2227050886,1268488.7120791439,269805765.13009363,3124954583.1617284
106,2024-06-01,0.3982742956019401,6.145869989009448,54.21049357399344,546.0611275675858,0.5023153328242647,132.05218300294027,65.80739820163319,4520.461500879409,1.1899245025641472,0.4055118918490332,87.86073593921182,27.46737271902361,1245950.4757890385,19224969.526758686,169576482.07411104,3722235.2227050886,1268488.7120791439,269805765.13009363,3124954583.1633735
107,2024-06-01,0.3982742956019401,6.145869989009448,54.21049357399344,546.0611275675858,0.5023153328242647,132.05218300294027,65.80739820163319,4520.461500879409,1.1899245025641472,0.4055118918490332,87.86073593921182,27.46737271902361,1245950.4757890385,19224969.526758686,169576482.07411104,3722235.2227050886,1268488.7120791439,269805765.13009363,3124954583.1633735
