,Date,precip_and_snowmelt_input_Upper Green_mean,irrigation_Upper Green_mean,AET_Upper Green_mean,soil_thickness_Upper Green_mean,soil_porosity_Upper Green_mean,field_capacity_Upper Green_mean,wilting_point_Upper Green_mean,Geo_K_Upper Green_mean,Runoff_Upper Green_mean,Recharge_Upper Green_mean,Soil_Water_End_Of_Previous_Timestep_Upper Green_mean,Soil_Saturation_Percent_End_Of_Timestep_Upper Green_mean,precip_and_snowmelt_input_m3_Upper Green_sum,irrigation_m3_Upper Green_sum,AET_m3_Upper Green_sum,Runoff_m3_Upper Green_sum,Recharge_m3_Upper Green_sum,Soil_Water_End_Of_Previous_Timestep_m3_Upper Green_sum,Upper Green_area_m2
12,2006-01-01,25.088941458777303,0.0,5.524483223240987,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,1.3887206069003637,7.943653370732783,35.603995978829154,18.995573982736076,388313319.5538543,0.0,85140445.32464315,21495747.74850679,122957231.5496772,548045040.6762744,15464377139.676691
13,2006-02-01,18.74546426808355,0.0,13.615974892372416,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,1.247973255750132,7.148824307689366,34.501545651076455,18.31007281407729,290140531.6071091,0.0,209852636.5622272,19316991.38711141,110652890.1613549,531085275.1443786,15464377139.676691
14,2006-03-01,33.27213652946076,0.0,24.051546222353686,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,2.754453062505359,10.157397576437123,35.22559225736915,18.92240702646726,514928369.53455985,0.0,370685312.60605496,42635158.68815747,157218687.90577352,542209462.0459908,15464377139.676691
15,2006-04-01,19.374408350673125,0.08921405776179825,48.43856189818923,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,1.8224032721903367,3.6663323327755926,21.64089322153882,11.399064837915427,299854484.19579506,1380660.2130618712,746554485.5588157,28208504.150438968,56748540.56737981,333120506.9537911,15464377139.676691
16,2006-05-01,16.562699002618718,0.2319565509758763,56.88404701655219,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.11525350316709322,1.4810312140304784,7.6870936330346336,4.214855217223442,256323558.6693255,3589716.5662588947,876726764.9580083,1784010.1338927364,22924376.58515549,118328853.43956177,15464377139.676691
17,2006-06-01,16.868326036528,0.356856231047193,55.01226352054508,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0,0.14775553502735175,1.9251730382358285,1.261296723706402,261072784.0275278,5522640.852247485,847877459.4914837,0.0,2287096.5619171583,29633756.315996457,15464377139.676691
18,2006-07-01,18.37699289026813,0.4639131019517526,51.565830841193154,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0,0.10932680367085636,1.2990675271211518,0.884895860240086,284412391.739221,7179433.1325177895,794767969.7418352,0.0,1692206.1881383131,19995399.417979535,15464377139.676691
19,2006-08-01,26.796895525293877,0.374699036520502,40.437417156878865,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0,0.08285325051323687,6.016074203010345,3.1442669069824194,414726502.04026866,5798772.80077006,623236256.6245563,0.0,1282459.9772046627,92600248.34702256,15464377139.676691
20,2006-09-01,36.276740609462415,0.1784281155235965,30.64775926473649,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0,0.24555804083199897,14.262308661773575,7.5271376081438435,561429123.2404263,2761320.4261237425,472361811.3621571,0.0,3800858.465678473,219519533.37980697,15464377139.676691
21,2006-10-01,41.86648282136379,0.08921405776179825,32.934278703429854,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.08274570247743455,1.2073872190847592,23.10410923951617,12.70392363835788,647916255.8608533,1380660.2130618712,507601463.8366349,1280787.0808647925,18688305.54326671,355587157.0393524,15464377139.676691
22,2006-11-01,21.105588412055432,0.0,21.930203643454156,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.9122759639318377,3.3982485684180483,20.242820455657924,11.52265244836818,326670616.61925215,0.0,338001202.20965457,14120789.095956046,52598845.53452384,311571993.8730489,15464377139.676691
23,2006-12-01,26.292277095290615,0.0,11.755419720223037,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0718561801472565,4.338579811671366,30.44263552010994,16.47961756294032,406921760.2434201,0.0,181180577.278949,1112230.3902694767,67153230.8307576,468566770.8573199,15464377139.676691
24,2007-01-01,23.869178694562947,0.0,7.190235192305585,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.14305214696277138,5.4485407771518,41.540491941638415,21.794675436300935,369416072.06666005,0.0,110819711.08410197,2214257.398021271,84332755.1405111,639376528.3685917,15464377139.676691
25,2007-02-01,23.195337602542505,0.0,15.78218147162246,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.5460494029801517,7.1669165265488095,42.27437000382373,22.001171797968116,358998895.2825348,0.0,243239746.2461805,8452164.342013013,110931196.66962004,650680942.5127923,15464377139.676691
26,2007-03-01,31.565769685099987,0.0,40.4097461851085,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.3776707833713818,6.783215551265324,33.96505118063835,17.26896940250332,488534378.3210361,0.0,622808976.6200161,5845778.956170182,104989869.66681868,522793148.96093386,15464377139.676691
27,2007-04-01,16.36375810138837,0.07702013105808356,50.21694217139355,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.2021807294649196,3.2318207339770786,19.024747890342066,9.828093818785115,253259014.74395975,1191960.564785313,773968262.6807128,3129483.537548698,50022699.28401041,292836960.8875207,15464377139.676691
28,2007-05-01,28.38161197874162,0.20025234137802558,54.50504452988924,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0,0.564545183721678,9.105377206057662,4.743922849200078,439224521.5142193,3099097.4781405427,840064414.7657343,0.0,8738293.474029593,140150421.92116404,15464377139.676691
29,2007-06-01,5.495615459954277,0.30808052423233423,59.35202164601744,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0,0.05763071959690015,0.5820438823741028,0.39857580960598893,85055669.8208143,4767842.259141252,914776694.6757559,0.0,892068.5134313205,8958773.734422365,15464377139.676691
30,2007-07-01,16.71827622068693,0.40050468275605117,50.13274069692287,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0,0.1342288436609827,0.7943298458165732,0.6686209444631835,258745349.44254413,6198194.9562810855,772669222.6477569,0.0,2077695.2492185566,12226572.893768225,15464377139.676691
31,2007-08-01,34.1906133612052,0.3234845440310553,42.00756953344946,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0,0.11222493679576159,6.650228754701057,3.608169229244024,529143405.3677754,5006234.2728553405,647442621.1442592,0.0,1737040.7376687177,102358307.256059,15464377139.676691
32,2007-09-01,42.117998365397675,0.15404026211616711,50.26365199864161,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0,0.20838224073960077,6.551996021085805,3.751650108750056,651811784.6793373,2383921.129570626,774696217.0835053,0.0,3225401.1322275475,100836250.18040334,15464377139.676691
33,2007-10-01,37.24750761341201,0.07702013105808356,35.37208474372036,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0,0.6411266256584153,12.118796464632242,6.828108684079918,576458628.4206474,1191960.564785313,545173940.6166753,0.0,9923508.449300082,186523848.2592252,15464377139.676691
34,2007-11-01,5.744020444873017,0.0,21.13268044738024,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.0,0.12445885839793079,6.08901157878245,3.628165030056817,88901053.50577107,0.0,325703736.7363607,0.0,1926443.3033573485,93722937.0723565,15464377139.676691
35,2007-12-01,46.25882444288092,0.0,3.7806861875184836,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.9005546899086135,4.647911495564443,42.8154434124612,23.568280168360115,715930981.4802517,0.0,58268058.93574901,13939386.242197605,71941795.2858146,658992437.2340493,15464377139.676691
