,Date,precip_and_snowmelt_input_Upper Green_mean,irrigation_Upper Green_mean,AET_Upper Green_mean,soil_thickness_Upper Green_mean,soil_porosity_Upper Green_mean,field_capacity_Upper Green_mean,wilting_point_Upper Green_mean,Geo_K_Upper Green_mean,Runoff_Upper Green_mean,Recharge_Upper Green_mean,Soil_Water_End_Of_Previous_Timestep_Upper Green_mean,Soil_Saturation_Percent_End_Of_Timestep_Upper Green_mean,precip_and_snowmelt_input_m3_Upper Green_sum,irrigation_m3_Upper Green_sum,AET_m3_Upper Green_sum,Runoff_m3_Upper Green_sum,Recharge_m3_Upper Green_sum,Soil_Water_End_Of_Previous_Timestep_m3_Upper Green_sum,Upper Green_area_m2
0,2005-01-01,40.156969058825545,0.0,10.768077601410932,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,2.4662899172100636,18.842884898405018,90.35727882716566,44.300826898271936,621496349.8649188,0.0,165960396.52145103,38172849.368147045,291630494.8926723,1390713613.4940398,15464377139.676691
1,2005-02-01,24.139463831381217,0.0,11.75415995705851,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.1104148863198685,10.96744107178234,91.68745104832108,43.662276661198526,373599256.2134936,0.0,181161299.8760391,1708787.9681776897,169741568.20141527,1411191043.8836992,15464377139.676691
2,2005-03-01,25.400492710956335,0.0,16.55585132603766,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,1.2873880975483436,9.859867867654591,89.7528292475819,42.579857569344306,393123362.4360927,0.0,255162692.21064296,19926566.654714797,152606136.79746804,1381423072.413442,15464377139.676691
3,2005-04-01,32.31768347435737,0.10625267109688116,17.547728592242052,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,1.1685770856061193,13.237753224907557,90.74415407086788,42.98679882788824,500154333.16846853,1644338.0859111648,270444382.0320156,18087146.10491792,204878112.48781404,1396679256.7673895,15464377139.676691
4,2005-05-01,53.956826947157005,0.2762569251377459,30.571176618795644,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,2.5366348583948852,21.72447419081192,91.45663495395318,43.10089782760014,835074931.4501876,4275278.7182906885,471171081.6162352,39262378.64486089,336232260.04565823,1407652358.8434365,15464377139.676691
5,2005-06-01,26.725175558896638,0.42501068438752465,45.34407966084984,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.1828711395668605,3.1937349129275256,75.49252714226697,34.506385023910894,413598389.5527708,6577352.343644659,698863339.0407145,2830193.033183576,49427756.785946235,1161934984.9101205,15464377139.676691
6,2005-07-01,14.711135072498795,0.5525138502754918,52.44828398348064,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.022333983740777625,1.2144750210228343,57.09676875507487,24.97028888879493,227677734.2383952,8550557.436581377,808364287.7658271,345652.21866289375,18796158.3112164,878791070.580578,15464377139.676691
7,2005-08-01,15.48813081588299,0.44626120463223107,36.85382913229704,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.05872946285262095,1.0708700444659944,52.84728169458227,23.113638900582785,239680731.19657037,6906219.744563921,568013865.4073569,908873.4375871337,16572333.77325095,813378480.292079,15464377139.676691
8,2005-09-01,21.4339374665591,0.21250534219376233,28.62079485578448,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.09423253627085663,2.342933501722946,53.76391942396723,23.745881582723953,331704335.60641783,3288676.1718223295,441115273.7617179,1458314.4802587829,36258483.77695465,827482963.0904351,15464377139.676691
9,2005-10-01,17.800084857412095,0.10625267109688116,21.885602550198815,445.544625772867,0.4801584123174225,97.5876623934374,47.927609041225544,16691.044463301365,0.1303130673792727,3.543229545351223,54.4954681442968,24.099644774408944,275454096.3892352,1644338.0859111648,337312772.1869025,2016686.7618440732,54831257.43403816,838733545.515822,15464377139.676691
