,Date,precip_and_snowmelt_input_San Pitch_mean,irrigation_San Pitch_mean,AET_San Pitch_mean,soil_thickness_San Pitch_mean,soil_porosity_San Pitch_mean,field_capacity_San Pitch_mean,wilting_point_San Pitch_mean,Geo_K_San Pitch_mean,Runoff_San Pitch_mean,Recharge_San Pitch_mean,Soil_Water_End_Of_Previous_Timestep_San Pitch_mean,Soil_Saturation_Percent_End_Of_Timestep_San Pitch_mean,precip_and_snowmelt_input_m3_San Pitch_sum,irrigation_m3_San Pitch_sum,AET_m3_San Pitch_sum,Runoff_m3_San Pitch_sum,Recharge_m3_San Pitch_sum,Soil_Water_End_Of_Previous_Timestep_m3_San Pitch_sum,San Pitch_area_m2
0,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
1,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
2,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
3,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
4,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
5,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.986012
6,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
7,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
8,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
9,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
10,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.986012
11,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
12,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
13,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
14,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
15,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.986012
16,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
17,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.987718
18,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.986012
19,2024-01-01,53.3822803526066,0.0,20.08156149327269,468.630507449782,0.5266698599211845,110.75486627026388,65.32576035273178,11767.243643347565,0.4233881174975911,20.03884476662232,77.12154871361915,31.70330682027561,118921190.37987106,0.0,44735737.995874524,943153.3368165606,44641575.097705014,171805161.9521483,2227751045.986012
