,Date,precip_and_snowmelt_input_Fremont_mean,irrigation_Fremont_mean,AET_Fremont_mean,soil_thickness_Fremont_mean,soil_porosity_Fremont_mean,field_capacity_Fremont_mean,wilting_point_Fremont_mean,Geo_K_Fremont_mean,Runoff_Fremont_mean,Recharge_Fremont_mean,Soil_Water_End_Of_Previous_Timestep_Fremont_mean,Soil_Saturation_Percent_End_Of_Timestep_Fremont_mean,precip_and_snowmelt_input_m3_Fremont_sum,irrigation_m3_Fremont_sum,AET_m3_Fremont_sum,Runoff_m3_Fremont_sum,Recharge_m3_Fremont_sum,Soil_Water_End_Of_Previous_Timestep_m3_Fremont_sum,Fremont_area_m2
83,2024-05-01,15.21528819015464,1.9280594762203218,61.04230826238041,322.1880089260717,0.4824469090043037,71.63906748090272,32.152657376622265,19111.30254536068,0.0,0.7580145652039973,25.073084653507966,12.972937454374879,78004109.17955495,9884710.219069485,312951262.4396471,0.0,3886146.5485364017,128541737.3187213,5124879115.670146
84,2024-05-01,15.21528819015464,1.9280594762203218,61.04230826238041,322.1880089260717,0.4824469090043037,71.63906748090272,32.152657376622265,19111.30254536068,0.0,0.7580145652039973,25.073084653507966,12.972937454374879,78004109.17955495,9884710.219069485,312951262.4396471,0.0,3886146.5485364017,128541737.3187213,5124879115.6746025
85,2024-05-01,15.21528819015464,1.9280594762203218,61.04230826238041,322.1880089260717,0.4824469090043037,71.63906748090272,32.152657376622265,19111.30254536068,0.0,0.7580145652039973,25.073084653507966,12.972937454374879,78004109.17955495,9884710.219069485,312951262.4396471,0.0,3886146.5485364017,128541737.3187213,5124879115.670146
86,2024-05-01,15.21528819015464,1.9280594762203218,61.04230826238041,322.1880089260717,0.4824469090043037,71.63906748090272,32.152657376622265,19111.30254536068,0.0,0.7580145652039973,25.073084653507966,12.972937454374879,78004109.17955495,9884710.219069485,312951262.4396471,0.0,3886146.5485364017,128541737.3187213,5124879115.6746025
87,2024-05-01,15.21528819015464,1.9280594762203218,61.04230826238041,322.1880089260717,0.4824469090043037,71.63906748090272,32.152657376622265,19111.30254536068,0.0,0.7580145652039973,25.073084653507966,12.972937454374879,78004109.17955495,9884710.219069485,312951262.4396471,0.0,3886146.5485364017,128541737.3187213,5124879115.6746025
88,2024-05-01,15.21528819015464,1.9280594762203218,61.04230826238041,322.1880089260717,0.4824469090043037,71.63906748090272,32.152657376622265,19111.30254536068,0.0,0.7580145652039973,25.073084653507966,12.972937454374879,78004109.17955495,9884710.219069485,312951262.4396471,0.0,3886146.5485364017,128541737.3187213,5124879115.6746025
89,2024-05-01,15.21528819015464,1.9280594762203218,61.04230826238041,322.1880089260717,0.4824469090043037,71.63906748090272,32.152657376622265,19111.30254536068,0.0,0.7580145652039973,25.073084653507966,12.972937454374879,78004109.17955495,9884710.219069485,312951262.4396471,0.0,3886146.5485364017,128541737.3187213,5124879115.6746025
90,2024-05-01,15.21528819015464,1.9280594762203218,61.04230826238041,322.1880089260717,0.4824469090043037,71.63906748090272,32.152657376622265,19111.30254536068,0.0,0.7580145652039973,25.073084653507966,12.972937454374879,78004109.17955495,9884710.219069485,312951262.4396471,0.0,3886146.5485364017,128541737.3187213,5124879115.670146
91,2024-05-01,15.21528819015464,1.9280594762203218,61.04230826238041,322.1880089260717,0.4824469090043037,71.63906748090272,32.152657376622265,19111.30254536068,0.0,0.7580145652039973,25.073084653507966,12.972937454374879,78004109.17955495,9884710.219069485,312951262.4396471,0.0,3886146.5485364017,128541737.3187213,5124879115.6746025
92,2024-05-01,15.21528819015464,1.9280594762203218,61.04230826238041,322.1880089260717,0.4824469090043037,71.63906748090272,32.152657376622265,19111.30254536068,0.0,0.7580145652039973,25.073084653507966,12.972937454374879,78004109.17955495,9884710.219069485,312951262.4396471,0.0,3886146.5485364017,128541737.3187213,5124879115.670146
