,Date,precip_and_snowmelt_input_Lower Green_mean,irrigation_Lower Green_mean,AET_Lower Green_mean,soil_thickness_Lower Green_mean,soil_porosity_Lower Green_mean,field_capacity_Lower Green_mean,wilting_point_Lower Green_mean,Geo_K_Lower Green_mean,Runoff_Lower Green_mean,Recharge_Lower Green_mean,Soil_Water_End_Of_Previous_Timestep_Lower Green_mean,Soil_Saturation_Percent_End_Of_Timestep_Lower Green_mean,precip_and_snowmelt_input_m3_Lower Green_sum,irrigation_m3_Lower Green_sum,AET_m3_Lower Green_sum,Runoff_m3_Lower Green_sum,Recharge_m3_Lower Green_sum,Soil_Water_End_Of_Previous_Timestep_m3_Lower Green_sum,Lower Green_area_m2
0,2005-01-01,79.05963583442951,0.0,11.975286631622076,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,12.24439509864886,41.326294017893034,85.02447088304807,55.77296011729688,2980098058.4146633,0.0,451387548.54783535,461562779.0547092,1557758607.875037,3201197808.8763547,37664117295.21703
1,2005-02-01,34.35633232555717,0.0,17.477579012674717,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.943291236238241,24.87543047376437,75.09561981369805,48.099510019007646,1295057326.551438,0.0,658786199.6167845,73258229.28849185,937680654.2475415,2827376240.741165,37664117295.21703
2,2005-03-01,36.95940193681252,0.0,42.103507667773826,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,3.3288286309722497,13.108588834724523,56.664376290779245,33.633058049833984,1393146962.9738557,0.0,1587040454.4643507,125483341.82624376,494125656.7222072,2133419662.5451124,37664117295.21703
3,2005-04-01,31.35779001785837,1.657074957686031,53.24878213756971,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,2.1883431829029214,6.777637123590157,40.764904960970384,23.511704854052358,1182004813.1889608,62458727.18883112,2007111006.5553896,82493445.70291322,255492814.55816883,1534825753.0928786,37664117295.21703
4,2005-05-01,31.669625142172496,4.30839494494625,61.827355821886336,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.7003644020009112,4.318634700579528,29.586806277474853,16.37683854203883,1193763271.6982496,162392692.76276097,2330446968.652726,64096770.170696065,162798700.69396544,1113987516.2929645,37664117295.21703
5,2005-06-01,36.51641484507926,6.628299830744124,69.32536804642541,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.1996663522556974,2.223025835926339,23.45114321716416,11.939931558590672,1376441994.794912,249834908.75532448,2613087093.831726,45216776.06824288,83798280.51732907,882967196.7608691,37664117295.21703
6,2005-07-01,13.889590506827007,8.6167898898925,68.77760656156278,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.730799362655117,1.4593340610472885,15.78602709841999,6.863306664175911,523552970.13323814,324785385.52552193,2592488061.81161,65234367.971083,55008922.032892615,594347314.2427938,37664117295.21703
7,2005-08-01,29.49917537856988,6.959714835640925,65.27551127824594,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.7585943169801572,1.4365174971694308,15.28052612898271,6.920525357465123,1111919432.6118636,262326654.69704646,2460499966.1451826,66281326.459430695,54148240.04288002,575304446.9454508,37664117295.21703
8,2005-09-01,37.62836206362507,3.314149915372062,34.234322330949496,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,0.9464015697913333,2.054305418661604,23.91931484933028,13.682780772318724,1418335244.0694475,124917454.37766224,1290414228.0099308,35669959.34775168,77434791.00802374,900551109.944932,37664117295.21703
9,2005-10-01,30.763832994993866,1.657074957686031,20.763247543557462,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,0.5785112327350603,3.051688549580259,34.91528896581239,22.691884222362464,1159597273.4565203,62458727.18883112,782648954.6556221,21804672.849060655,115031275.23096763,1314547172.0727887,37664117295.21703
