,Date,precip_and_snowmelt_input_Lower Green_mean,irrigation_Lower Green_mean,AET_Lower Green_mean,soil_thickness_Lower Green_mean,soil_porosity_Lower Green_mean,field_capacity_Lower Green_mean,wilting_point_Lower Green_mean,Geo_K_Lower Green_mean,Runoff_Lower Green_mean,Recharge_Lower Green_mean,Soil_Water_End_Of_Previous_Timestep_Lower Green_mean,Soil_Saturation_Percent_End_Of_Timestep_Lower Green_mean,precip_and_snowmelt_input_m3_Lower Green_sum,irrigation_m3_Lower Green_sum,AET_m3_Lower Green_sum,Runoff_m3_Lower Green_sum,Recharge_m3_Lower Green_sum,Soil_Water_End_Of_Previous_Timestep_m3_Lower Green_sum,Lower Green_area_m2
0,2005-01-01,76.98425473608023,0.0,6.7355933873709555,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,13.850795111480135,44.07682164917388,91.15819909188482,58.83653645544768,2901884934.4336257,0.0,253891890.78148267,522116295.27673435,1661439564.4256716,3432123570.398411,37664117295.21703
1,2005-02-01,32.9570219218932,0.0,6.75024133273905,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,3.204273740108312,29.85377031658837,84.26681605172017,53.57186972633139,1242308698.8853803,0.0,254449246.13625908,120791242.40626451,1125323468.3624792,3172652611.2710423,37664117295.21703
2,2005-03-01,34.412944094599666,0.0,7.284882379686388,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,5.547986978464468,25.00781398099372,80.85853647808797,51.123584625796454,1297172256.5590303,0.0,274594758.99639183,209136184.00337988,942648129.3535018,3044325844.929908,37664117295.21703
3,2005-04-01,28.810652264484503,1.657074957686031,10.25560888642018,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,3.2617450922560476,20.893383436422297,77.25618566377648,48.31385430202009,1085994331.449514,62458727.18883112,386570460.051804,122954989.75658591,787558399.8214628,2908690436.378177,37664117295.21703
4,2005-05-01,28.302414387215194,4.30839494494625,18.359421159785793,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,3.3211610180071953,19.59850106626644,70.93494825476965,43.30458481100824,1066830284.011766,162392692.76276097,692024565.6191142,125192444.69122028,738743247.5217278,2670692255.577229,37664117295.21703
5,2005-06-01,39.254126878586185,6.628299830744124,30.241713496043445,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,2.7682524980715186,23.248808297933394,66.6972117776875,42.315575130786875,1479626748.3070714,249834908.75532448,1139917549.1596627,104341138.79717642,876314891.1670266,2511146508.906237,37664117295.21703
6,2005-07-01,10.964743069428414,8.6167898898925,27.888332933911787,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.7465147855573342,9.215685474200091,61.265730806618436,36.093153810602814,413307171.53629214,324785385.52552193,1051202387.8540782,65826125.76927013,347380516.6176565,2306637733.1272745,37664117295.21703
7,2005-08-01,30.811123739643016,6.959714835640925,29.681861856884627,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,2.156193577501607,17.25677080443523,59.97993756064411,35.6952427974478,1161365901.8770964,262326654.69704646,1118816373.2746363,81267360.38001461,650452813.9102043,2258221779.0723143,37664117295.21703
8,2005-09-01,38.90611589137514,3.314149915372062,23.481370904342636,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.809781746372874,21.559305616743494,60.737139367282246,37.07632864112557,1466488617.3072019,124917454.37766224,885095760.4171213,68211851.51465991,812622806.5103242,2286733208.8145623,37664117295.21703
9,2005-10-01,29.428164657423768,1.657074957686031,11.703390305031137,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.4407492508247952,17.483428265548,62.27441771020076,38.75401480442177,1109245715.059167,62458727.18883112,441146414.69219595,54303958.88339039,658998963.8323681,2344615439.559731,37664117295.21703
10,2005-11-01,19.48161082034383,0.0,5.890711545223854,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,0.5473608032389284,12.290913001559352,63.835823477783464,39.96767863823563,734372049.1633253,0.0,222044211.5496316,20633551.546360187,463313757.219742,2403412475.234914,37664117295.21703
11,2005-12-01,33.09661317870646,0.0,3.520170041592099,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,4.245708486704512,20.078180361618543,69.20892762528585,43.40197747180783,1247626786.307964,0.0,132691849.54140407,160054978.71713507,756874436.6120894,2605730170.1620073,37664117295.21703
12,2006-01-01,21.218227922102535,0.0,5.109964858369594,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,2.5041572815397237,15.510193736787246,67.87075784467619,41.73290650613811,799844614.3079069,0.0,192618619.4402906,94400874.01845455,584676733.4603791,2555342464.3930454,37664117295.12642
13,2006-02-01,16.71103498091796,0.0,2.2485671218579135,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,2.331604525070465,12.916130873990765,67.32755263180088,41.09886373035008,629951888.2717892,0.0,84761540.43532552,87896002.31413484,486897291.35768086,2534886904.963051,37664117295.12642
14,2006-03-01,55.07962266574235,0.0,11.916381285569974,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,8.277374635221676,32.57590925584078,70.52401863762115,44.3980785298473,2076193305.0716527,0.0,449179099.2642432,312029995.27021134,1227920024.5278697,2655231852.124854,37664117295.12642
15,2006-04-01,28.052161529785884,1.5424772421993682,8.952405376288688,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,4.6271551532501185,19.28204849604255,68.93088389541596,42.61285162513777,1057434576.9773576,58139282.10670558,337445197.096462,174430612.57120195,726839515.07124,2595251007.964222,37664117295.12642
16,2006-05-01,7.895879969145109,4.0104409075640355,13.704456424602265,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,0.5358832327926891,10.107228235713196,61.8206073815127,36.17460267571438,297621453.19533473,151162136.41151392,516555411.9595604,20198402.649529647,380993039.3564124,2327529725.4174643,37664117295.12642
17,2006-06-01,13.225440628456928,6.169908968797473,23.1760418743099,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.160816407311461,8.887837896951915,58.90124854132296,33.91273766579147,498533039.41173434,232557128.42682233,873578726.263335,43751655.79248165,335027345.16168034,2217610755.5608377,37664117295.12642
18,2006-07-01,30.286692516456693,8.020881815128071,27.89571961951177,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,2.2064639114272233,17.361198785918837,60.0515840000503,36.24980309284059,1141630560.03205,302324272.82302785,1051487213.340045,83162586.63370955,654410501.1716434,2260920771.796036,37664117295.12642
19,2006-08-01,28.38081091046524,6.478404483753988,28.16317452780532,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.842385221767942,17.153801876839314,57.90391295179819,34.01771695265866,1069775229.2952845,244184987.3547971,1061573038.5824459,69440907.52242948,646583287.0179975,2180054984.342814,37664117295.12642
20,2006-09-01,36.768841006172764,3.0849544843987364,20.906486083332027,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.7267996009810884,20.57849926127422,58.58402753280934,35.255299556538326,1385922698.3786292,116278564.21341117,788042320.3118275,65085004.10212663,775654112.4960203,2205660502.4625487,37664117295.12642
21,2006-10-01,92.7993191946453,1.5424772421993682,21.920258287623817,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,7.645613239742063,43.80458249983779,79.56007191270447,53.954269407950115,3497924429.560603,58139282.10670558,826266239.3675762,288186994.64105624,1651129879.1461976,2995414846.4470844,37664117295.12642
22,2006-11-01,18.38876213618739,0.0,3.88886823344435,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.7624711783351132,19.77116218347292,72.67908755507223,46.220884844181505,693183077.5267045,0.0,146585790.94278446,66439536.61436339,745267990.5530936,2736358873.753513,37664117295.12642
23,2006-12-01,19.929966208663103,0.0,3.6976050385348427,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,0.8544452777375356,15.305696152660989,72.73502036726015,45.35636097164275,751263161.7326196,0.0,139381133.03677666,32209906.824743643,576950522.6220001,2738464036.0640397,37664117295.12642
24,2007-01-01,19.32299179311553,0.0,2.9571872361298057,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,0.6278752561819836,14.496086365765434,73.96979963868596,45.8559336091877,728358899.0617049,0.0,111470881.60726273,23667586.40188505,546415438.030635,2784949563.70041,37664117295.12642
25,2007-02-01,22.365255278249005,0.0,3.4237556525614865,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,2.156298797805339,16.82389229915383,73.92640151032872,45.56347569466294,843074319.5868121,0.0,129055804.97121586,81287198.53768611,634187893.375829,2783317339.3125405,37664117295.12642
26,2007-03-01,22.088740329631296,0.0,5.73224496560868,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,2.1638736689515143,16.04034177321108,72.36302807878081,44.49022252564224,832625772.3587363,0.0,216069203.3572315,81571184.18105136,604632735.0871506,2724455930.9585557,37664117295.12642
27,2007-04-01,22.688977571049957,1.2800910016031986,12.105810127687969,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,1.2814595667080886,14.659431695707415,69.7906659907259,43.34121268535571,855247514.0944207,48249732.4414802,456309563.3350277,48305845.99125291,552580001.2649415,2627607060.6414003,37664117295.12642
28,2007-05-01,20.850013593748432,3.3282365010183854,19.198045148819983,342.4623129468294,0.47844790275119503,72.18610164980531,37.087803687761614,12066.804626770949,0.6427960602894862,14.168888395856055,64.70469725672582,39.3787309841823,785890123.535175,125449300.45972393,723632216.233444,24227548.759075288,534063666.0090881,2436114979.0077353,37664117295.12642
