,Date,precip_and_snowmelt_input_Weber_mean,irrigation_Weber_mean,AET_Weber_mean,soil_thickness_Weber_mean,soil_porosity_Weber_mean,field_capacity_Weber_mean,wilting_point_Weber_mean,Geo_K_Weber_mean,Runoff_Weber_mean,Recharge_Weber_mean,Soil_Water_End_Of_Previous_Timestep_Weber_mean,Soil_Saturation_Percent_End_Of_Timestep_Weber_mean,precip_and_snowmelt_input_m3_Weber_sum,irrigation_m3_Weber_sum,AET_m3_Weber_sum,Runoff_m3_Weber_sum,Recharge_m3_Weber_sum,Soil_Water_End_Of_Previous_Timestep_m3_Weber_sum,Weber_area_m2
0,2005-01-01,95.87592577269848,0.0,7.229074911339147,467.3207122910223,0.5087340841563485,117.38491588224721,58.85133922806033,15226.613517968311,11.606678588069705,70.96275768599757,150.61272938563425,66.63603329555596,617586301.4464738,0.0,46562678.74304223,74763895.96210012,457111467.9146002,952021758.3894545,6433707809.892397
1,2005-02-01,72.30318738476845,0.0,16.788585977420045,467.3207122910223,0.5087340841563485,117.38491588224721,58.85133922806033,15226.613517968311,7.420248701152794,51.39973547726167,146.96913497805988,64.30022793644466,465733272.93645227,0.0,108138414.59302674,47795590.22418108,331092708.26376873,928988518.3605474,6433707809.892397
2,2005-03-01,108.57543784247984,0.0,39.295256332069535,467.3207122910223,0.5087340841563485,117.38491588224721,58.85133922806033,15226.613517968311,13.86264405437583,52.016217518388714,149.69503686771984,64.88934141335837,699374968.2163146,0.0,253112780.14644027,89293276.01426457,335062370.65997094,946217056.1831596,6433707809.892397
3,2005-04-01,83.99280665036912,2.961791120548165,71.13696266587542,467.3207122910223,0.5087340841563485,117.38491588224721,58.85133922806033,15226.613517968311,6.3906001792092955,26.883911418652808,131.9143517789426,54.50714181449516,541022950.1080011,19077049.47488954,458218605.55676204,41162107.392869875,173170160.82263818,833820504.3616445,6433707809.892397
4,2005-05-01,123.55121463260792,7.700656770240155,115.64393337992051,467.3207122910223,0.5087340841563485,117.38491588224721,58.85133922806033,15226.613517968311,8.796326738270368,15.373898784091773,123.11754145727703,49.470970327112084,795834778.0699651,49600327.71241035,744907195.4477363,56655914.54331543,99027967.51998274,778213260.227142,6433707809.892397
5,2005-06-01,66.03580008340107,11.84716448219266,132.8022343570937,467.3207122910223,0.5087340841563485,117.38491588224721,58.85133922806033,15226.613517968311,3.5391504323451772,2.991149981587543,73.7460019900514,25.285836367006418,425357357.8090412,76308197.89955816,855431283.6393939,22794890.514458176,19266856.230558604,466128295.51635844,6433707809.892397
6,2005-07-01,0.6571165755530358,15.40131354048031,131.4930542651338,467.3207122910223,0.5087340841563485,117.38491588224721,58.85133922806033,15226.613517968311,1.5447455349891492,1.301799951648608,38.481915887597914,10.855346017110472,4232846.626710818,99200655.4248207,846996099.4417943,9949692.612204,8385465.969129764,243229018.670822,6433707809.892397
7,2005-08-01,12.801755435884564,12.43952283542228,96.65705232285043,467.3207122910223,0.5087340841563485,117.38491588224721,58.85133922806033,15226.613517968311,1.6828004180514495,1.3319725461501914,32.922273687593055,9.069298527194936,82461326.46103843,80123608.6260634,622605046.7633158,10838812.43328057,8579834.23234612,208088850.21159092,6433707809.892397
8,2005-09-01,16.305762648154083,5.92358224109633,61.24961815364877,467.3207122910223,0.5087340841563485,117.38491588224721,58.85133922806033,15226.613517968311,0.4642241487753562,0.7099695143244071,30.416056053668324,8.334807175833754,105034177.67119926,38154098.94977908,394532261.12815255,2990037.754126782,4573190.420934226,192248300.8002456,6433707809.892397
9,2005-10-01,39.702864115815586,2.961791120548165,37.13428684748749,467.3207122910223,0.5087340841563485,117.38491588224721,58.85133922806033,15226.613517968311,1.5658270296505734,0.8845924601911717,40.80797842699395,13.470050859724271,255735260.77878535,19077049.47488954,239195377.39816684,10085061.503951693,5697967.265979717,257933227.95362222,6433707809.892397
10,2005-11-01,70.31619972017238,0.0,19.796917447469106,467.3207122910223,0.5087340841563485,117.38491588224721,58.85133922806033,15226.613517968311,0.800954099590741,5.55688693522958,86.21302998935998,37.27333948017899,452943878.2913882,0.0,127519226.26240933,5159158.7188312365,35795413.49166977,544949311.9391739,6433707809.892397
