,Date,precip_and_snowmelt_input_Weber_mean,irrigation_Weber_mean,AET_Weber_mean,soil_thickness_Weber_mean,soil_porosity_Weber_mean,field_capacity_Weber_mean,wilting_point_Weber_mean,Geo_K_Weber_mean,Runoff_Weber_mean,Recharge_Weber_mean,Soil_Water_End_Of_Previous_Timestep_Weber_mean,Soil_Saturation_Percent_End_Of_Timestep_Weber_mean,precip_and_snowmelt_input_m3_Weber_sum,irrigation_m3_Weber_sum,AET_m3_Weber_sum,Runoff_m3_Weber_sum,Recharge_m3_Weber_sum,Soil_Water_End_Of_Previous_Timestep_m3_Weber_sum,Weber_area_m2
0,2005-01-01,117.7633105253662,0.0,4.778309430796255,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,18.8640137181728,78.8584850648936,165.5767509121229,72.23469715000051,758455289.8049463,0.0,30773403.98651766,121491058.490051,507896609.2469927,1039625349.6276745,6433707809.89141
1,2005-02-01,72.66108082884178,0.0,7.666762801185076,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,6.750151995039608,62.7310069852658,160.41291055771953,69.48922706841938,467971919.1628334,0.0,49375331.22698039,43473191.45641341,404023374.1731662,1007200175.9338337,6433707809.89141
2,2005-03-01,110.43035630784935,0.0,12.769539340866784,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,23.294167716940482,68.17989517069714,165.3737525049185,71.26572689307606,711220939.077701,0.0,82238748.50770974,150022388.14781332,439117611.70571357,1038346547.6983259,6433707809.89141
3,2005-04-01,83.81848827145042,2.7284496820539035,29.509740174615235,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,11.023082117232523,52.15884196628061,157.52585987672074,67.43141433032538,539824871.4030349,17571549.148588207,190050603.62690204,70991236.6787776,335931621.2220869,989070085.0260187,6433707809.89141
4,2005-05-01,114.27910524513408,7.093969093806752,50.08857921921291,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,15.43892354322407,57.33256826953846,154.41775688517092,66.2312110994973,736007628.6623049,45686027.2741189,322587299.48227435,99430241.11254482,369255206.9676566,969554210.0898868,6433707809.89141
5,2005-06-01,64.65305284967911,10.913798728215614,65.60145250517814,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,3.4820649770229326,41.97192283536968,120.78204847233607,51.35164326916821,416392594.49748826,70286196.59435283,422497092.3435136,22423994.739419933,270323131.2933147,758359639.5878484,6433707809.89141
6,2005-07-01,3.3675513372528507,14.187938187613504,61.26243412600612,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,1.523006765480324,18.80363709371393,84.98931980245315,35.28641301912422,21689405.052139968,91372054.5482378,394553835.17786676,9807970.533770844,121103491.6989539,533628389.8945643,6433707809.89141
7,2005-08-01,17.701369087493404,11.459488825716804,49.3884271518838,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,1.6835177307154658,10.198784483321148,79.09875253548164,32.797616400797544,114005276.86382875,73800507.46134593,318079614.0792784,10841750.47241964,65686183.79738744,496643954.9335198,6433707809.89141
8,2005-09-01,19.91117689368816,5.456899364107807,34.52899766655305,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,0.25876674687761114,11.31602650648596,76.3819347389026,31.90472122920435,128239500.91629666,35143098.29717641,222379750.3803999,1666419.2344205107,72882439.42338069,479586311.26600707,6433707809.89141
9,2005-10-01,40.0167929561267,2.7284496820539035,18.211478461498125,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,1.013017334231449,22.123360670711335,79.60287784606678,33.31801194963052,257724668.29614198,17571549.148588207,117288613.56326273,6523653.309117891,142486016.7314322,499809115.4230832,6433707809.89141
10,2005-11-01,70.58813821629779,0.0,13.927099446789539,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,0.9353393754477013,40.775938917256845,94.62501506918498,41.540579975118476,454628591.75389636,0.0,89696456.08127835,6023856.770540928,262622323.02997935,594133951.4146229,6433707809.89141
11,2005-12-01,111.91127761013622,0.0,6.545607089483758,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,10.895055654242363,57.42170941682591,131.80512849225912,58.453946698555214,720767887.8608603,0.0,42155573.66400784,70170431.91414651,369830387.61949927,827582973.6497223,6433707809.89141
12,2006-01-01,99.10819398718216,0.0,5.146509006056474,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,12.407028208263268,65.9389668154009,147.0980886286397,64.48899514845098,638306854.0619644,0.0,33144197.45936471,79906195.415876,424686355.794184,923603872.628789,6433707809.892397
13,2006-02-01,53.224961274090916,0.0,7.517304213313755,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,4.017516898226836,49.38119449940936,138.99111774595968,60.6489469597789,342796799.0657024,0.0,48413082.96236079,25874969.16036937,318043481.6846945,872700710.3984387,6433707809.892397
14,2006-03-01,174.0106585069517,0.0,13.205959466191233,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,36.33924490769393,87.10514450956278,175.94884006405496,77.39471334570483,1120716457.2205515,0.0,85047398.14055684,234039215.99988508,561011371.7175009,1104755268.8476126,6433707809.892397
15,2006-04-01,125.66050536830132,2.3913956001641803,33.322422065493825,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,27.99001251295912,70.83589009731817,170.5940910446054,74.9835028957745,809314290.0197424,15400820.355923092,214607056.66880783,180266702.9354733,456225807.2049897,1071133053.9839255,6433707809.892397
16,2006-05-01,37.42061979341761,6.217628619919913,46.83256862693689,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,0.49723469289442734,47.41502696067552,118.83414623095918,51.21515643421182,241006595.3745217,40042133.30856208,301618295.0257255,3202006.8287891974,305380401.2936006,746136969.0774417,6433707809.892397
17,2006-06-01,30.907609459392486,9.565582400656721,62.25781966912248,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,0.9297369673899188,30.06510006344885,82.80237644313871,35.254380169373334,199059934.49853325,61603281.42369237,400963793.6473881,5987180.912334768,193635726.3200249,519899483.4575647,6433707809.892397
18,2006-07-01,14.251623229298142,12.435257239839826,57.72689494245035,458.875633041707,0.50963070559877,116.39721644292966,58.194468675097035,15762.90476783766,0.892990590052072,9.53652342242839,75.96756700542748,32.09762188354854,91789060.37750542,80084266.61712416,371782844.1028156,5750645.4881839,61421164.05997259,476985316.5573217,6433707809.892397
