,Date,precip_and_snowmelt_input_West Desert_mean,irrigation_West Desert_mean,AET_West Desert_mean,soil_thickness_West Desert_mean,soil_porosity_West Desert_mean,field_capacity_West Desert_mean,wilting_point_West Desert_mean,Geo_K_West Desert_mean,Runoff_West Desert_mean,Recharge_West Desert_mean,Soil_Water_End_Of_Previous_Timestep_West Desert_mean,Soil_Saturation_Percent_End_Of_Timestep_West Desert_mean,precip_and_snowmelt_input_m3_West Desert_sum,irrigation_m3_West Desert_sum,AET_m3_West Desert_sum,Runoff_m3_West Desert_sum,Recharge_m3_West Desert_sum,Soil_Water_End_Of_Previous_Timestep_m3_West Desert_sum,West Desert_area_m2
0,2005-01-01,26.50794089787693,0.0,5.443752639118345,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,7.587963659615418,9.016929715040467,150.71981608118193,68.0262464066166,1392383353.5586045,0.0,285958413.11875683,398527224.09201354,473567673.9229992,7278890012.858936,52468342745.01062
1,2005-02-01,25.17488117388494,0.0,6.9190279490330315,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,6.922222599046695,8.360780312750476,152.35790265172145,68.54103666776508,1322364342.3353162,0.0,363490527.96545804,363559016.3696775,439100828.6758618,7358009141.321759,52468342745.01062
2,2005-03-01,34.099001156743405,0.0,11.092332883953878,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,8.803525220941273,10.425048361121048,153.01035312572637,68.7872262823238,1791228472.0060575,0.0,582761807.4933286,462381616.2685316,547518154.8278905,7389519164.552603,52468342745.01062
3,2005-04-01,60.909373407864656,0.24518249984455665,20.665635564637487,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,18.12810590139989,17.967123728928858,153.31761348243495,69.31833344068131,3199270693.7878127,12880995.839023279,1085781541.870202,952047290.0507127,943492105.511428,7404249823.52351,52468342745.01062
4,2005-05-01,70.8957600652649,0.6374745104760694,29.28804620559253,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,19.766059323873744,15.53289244478021,152.58756110952785,69.28879107145298,3724480448.7287188,33490589.753279585,1538775343.69618,1038224106.1327101,815783173.8605953,7369060343.047769,52468342745.01062
5,2005-06-01,30.604256333780473,0.9807299993782266,22.774134464353313,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,8.421907357997977,8.236869845307108,140.87019134522816,64.10110256757733,1607666320.179939,51523983.356093116,1196517087.6621976,442338218.883452,432552933.40967906,6802986409.454626,52468342745.01062
6,2005-07-01,5.698340353697736,1.2749490209521388,12.651776409825684,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,1.2553632138393749,3.8657918981553534,133.26621917045813,60.54275892038488,299180864.9830436,66981179.50655917,664650381.272751,65914946.48766416,202985023.89463985,6435602412.199221,52468342745.01062
7,2005-08-01,12.1691779986431,1.0297665288914128,13.647132905122787,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,2.774073470955298,4.268655430067517,128.8595651898497,58.82511073948217,639179421.9443363,54100184.076189294,716900406.1588714,145694980.0088961,224148059.13206553,6222748498.5680275,52468342745.01062
8,2005-09-01,10.669457874172295,0.4903649996891133,8.645122827189635,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,1.8468873257522673,3.514495186079147,127.75748329970808,58.40347783925527,560424606.3562081,25761991.678046558,454154236.3506999,96995510.79290596,184554708.355175,6169506932.269459,52468342745.01062
9,2005-10-01,25.469564033115898,0.24518249984455665,8.307152657316454,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,5.611164353435702,7.8214782448590165,130.169024896735,59.86019955809401,1337821650.6567636,12880995.839023279,436419514.4805292,294692907.70700634,410708084.8282009,6285989791.808488,52468342745.01062
10,2005-11-01,7.687146288322983,0.0,3.800830231082449,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,1.0856076900039413,2.6735282812952974,129.85390226647104,59.66983778791207,403837410.869114,0.0,199692396.29498062,57024088.66177459,140401340.47658485,6270778748.096449,52468342745.01062
11,2005-12-01,24.21442623576328,0.0,4.448915738031657,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,5.720008429045116,5.824153697938912,136.7973505268777,62.33729138083167,1272089879.6614811,0.0,233730219.41137618,300426853.70070094,305876839.8287567,6606275647.491167,52468342745.01062
12,2006-01-01,25.505944848259237,0.0,4.929236135302896,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,6.398471958951625,6.755566927131854,142.93289952450473,64.60819493600799,1339969861.0849571,0.0,258965387.99666008,336085848.1632159,354827541.06932026,6902744186.725244,52468342745.01062
13,2006-02-01,18.29681260081719,0.0,4.385969597804517,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,5.241841452666396,5.953286815408633,144.8763442964726,65.29668353386407,961051143.9907968,0.0,230424257.3378624,275300832.2946977,312634004.8134088,6996614452.538216,52468342745.01062
14,2006-03-01,52.891024091879615,0.0,13.06415738218268,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,12.913327985305179,16.647287671111357,151.55461573799224,68.67435381621868,2778303816.7491665,0.0,686347786.6038753,678240410.5521218,874287200.1173801,7319186616.738515,52468342745.01062
15,2006-04-01,41.680264693139655,0.2786118082971392,17.07450104661544,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,10.534099738566342,10.834934841453652,150.1310659876477,67.88181859778808,2189680593.4553657,14637086.01393386,897096531.1311729,553324286.7582778,569051111.9809856,7250455610.400063,52468342745.01062
16,2006-05-01,15.333298106010664,0.724390700999056,14.12134446886699,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,3.3687580928248746,4.764047595002538,142.43903473489956,64.38109434073331,805496143.9333913,38056423.60609417,741929296.538902,176939249.37867144,250200336.83483934,6878839689.943884,52468342745.01062
17,2006-06-01,14.738175464601877,1.1144472331885569,12.038021965078277,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,3.3595892155000513,4.158560870953633,139.2235986671101,62.82034977046386,774209065.5536875,58548344.05573544,632427091.0829978,176443964.2469453,218384133.4792454,6723509030.677087,52468342745.01062
18,2006-07-01,21.031549775723185,1.448781401998112,12.864344036008657,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,5.020679884029301,7.86845636955731,138.00235165381338,62.571680560357954,1104451357.049694,76112847.21218833,675767208.622348,263650676.48741186,413132241.333802,6664436976.061364,52468342745.01062
19,2006-08-01,7.142149528506072,1.1701695607641973,10.200118116057817,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,1.742172236065007,2.0264282569372933,134.01310487880895,60.714321611225316,375265375.37071496,61475759.467540264,535859076.02464676,91526491.68737967,106426614.74082847,6471753274.879768,52468342745.01062
20,2006-09-01,24.33832094920681,0.5572236165942784,11.085647428493829,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,4.9304715692246806,4.65537826154076,135.75539572444248,61.62316684090154,1278785393.1580007,29274172.02786772,582437018.3117657,259015976.0770532,244514813.43085882,6555966494.865461,52468342745.01062
21,2006-10-01,49.27537798157248,0.2786118082971392,12.8517818886671,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,13.712894841476846,13.048709430786662,142.6845558822978,65.0994888882181,2588258320.4571877,14637086.01393386,675173007.2473718,720191086.9730161,685227901.1264341,6890659908.304345,52468342745.01062
22,2006-11-01,14.152499955016427,0.0,5.17349311147658,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,3.3726510816824984,3.9788877320060334,142.76487561272077,64.79233743054785,743523207.8066756,0.0,271824140.31983626,177151562.77062964,208974067.72915182,6894567419.495576,52468342745.01062
23,2006-12-01,37.842732693046216,0.0,4.340369141045299,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,12.438442607320516,12.148746873053845,151.65888308223472,68.35614334714181,1987639071.8263686,0.0,228018509.784667,653242062.8625245,637978968.4197319,7324202804.53147,52468342745.01062
24,2007-01-01,15.424233007096566,0.0,2.6161730471905114,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,4.799678088842783,6.113804690955538,153.47829732910844,68.92058557804964,810101993.8721857,0.0,137439320.8742123,252074183.8025803,321053567.57028997,7412082461.943151,52468342745.01062
25,2007-02-01,31.68995588474405,0.0,6.951813216592709,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,8.163707300740441,12.357259584115711,156.4662858763583,70.14123399975061,1664519385.2038722,0.0,365234631.1244539,428754340.3674949,648930209.1662548,7556419465.553143,52468342745.01062
26,2007-03-01,31.70243094345516,0.0,8.146095172252455,450.86981734667165,0.49773037830910694,101.65940112594429,49.732457552917076,3994.2367227050604,9.44893520647348,11.255181419596294,157.49556822456407,70.5260726553781,1665111503.2718475,0.0,427980548.83088154,496245196.61842835,591020595.7494521,7606106782.206252,52468342745.01062
