,Date,precip_and_snowmelt_input_Upper Snake_mean,irrigation_Upper Snake_mean,AET_Upper Snake_mean,soil_thickness_Upper Snake_mean,soil_porosity_Upper Snake_mean,field_capacity_Upper Snake_mean,wilting_point_Upper Snake_mean,Geo_K_Upper Snake_mean,Runoff_Upper Snake_mean,Recharge_Upper Snake_mean,Soil_Water_End_Of_Previous_Timestep_Upper Snake_mean,Soil_Saturation_Percent_End_Of_Timestep_Upper Snake_mean,precip_and_snowmelt_input_m3_Upper Snake_sum,irrigation_m3_Upper Snake_sum,AET_m3_Upper Snake_sum,Runoff_m3_Upper Snake_sum,Recharge_m3_Upper Snake_sum,Soil_Water_End_Of_Previous_Timestep_m3_Upper Snake_sum,Upper Snake_area_m2
132,2016-01-01,46.316831637810324,0.0,3.639858583936636,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,8.413979050872806,30.824081494730592,174.20640335354145,65.46307004725529,118323677.63332488,0.0,9299117.363753686,21498170.875130463,78740466.02838731,445075080.43722194,2550114889.2902493
133,2016-02-01,12.307422535820987,0.0,15.330320671971824,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.5071502713927722,6.239891833310772,164.4364631126871,60.79469847091625,31442001.311561104,0.0,39163682.54442062,1295681.974874627,15941714.29797515,420116002.93151206,2550114889.2902493
134,2016-03-01,76.07846377844594,0.0,29.653862088649007,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,11.727629318961627,24.22689709010881,174.90653839341357,65.63650847932264,194362471.35711282,0.0,75756500.01750246,29964561.662870087,61891996.28018664,446865416.32806623,2550114889.2902493
135,2016-04-01,96.15473659228522,0.49779637834879475,54.08508287631932,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,14.0187684270922,27.721087781376127,175.73413227925982,66.43719439364905,245647547.78982508,1271704.8902440178,138175579.39122924,35817769.31635478,70813405.04317465,448977915.25737786,2550114889.2902493
136,2016-05-01,78.29466492547459,1.29427052986637,62.264018082106105,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,14.016082503786949,14.259439552523776,164.8921327231092,61.506359427783494,200029713.12526947,3306432.5770907234,159074427.38189936,35812251.908660084,36427165.56864778,421277715.56876874,2550114889.2902493
137,2016-06-01,4.419818176880895,1.991185513395179,74.94295482235528,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.0167809937759953,0.7715103973277789,106.06125450251302,33.57128094047909,11292153.949881924,5086819.560976071,191457137.28674513,42865.243612641214,1971230.5417659655,270982495.78903365,2550114889.2902493
138,2016-07-01,0.2603320524553099,2.58854105973274,50.0812666680989,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.06811495510475161,0.4427870309783978,83.33582030997863,24.986371406592674,665144.5976053367,6612865.154181447,127943876.36623156,174004.34739690006,1131179.2782847045,212924915.38465568,2550114889.2902493
139,2016-08-01,0.0,2.090744745426151,24.062138058659436,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.08427135077272177,0.5348139338608247,79.04721075671118,23.44169843526945,0.0,5341160.427555074,61471491.8886472,215282.31970336777,1366261.1636818089,201968800.45061854,2550114889.2902493
140,2016-09-01,88.83321676596647,0.9955927566975895,14.348668240002219,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,3.2913481985456867,8.418762798950423,142.81972688335478,53.1238893059198,226938296.1201536,2543409.7804880356,36659772.52348797,8409590.760926228,21504397.295612626,364883098.06794786,2550114889.2902493
141,2016-10-01,91.30326248288443,0.49779637834879475,14.036302313662564,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,10.690982750848166,37.24077854531849,172.6527221347591,66.35547878545475,233247777.31905237,1271704.8902440178,35860750.21974291,27315617.695237894,95125015.29102476,441101197.07123864,2550114889.2902493
142,2016-11-01,21.494171454774847,0.0,5.151548119209325,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,1.119786148100519,18.05751377292117,169.8180455493031,63.66698597585681,54910259.301905565,0.0,13161520.22014407,2860785.2466273187,46128115.04859313,433861035.85778,2550114889.2902493
143,2016-12-01,74.5969210331817,0.0,1.8611311443714391,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,13.125928971763203,48.18507264573143,181.24283382061878,70.08735910423788,190566308.8903414,0.0,4754859.342234784,33535642.415529467,123087964.77120209,463048878.21915495,2550114889.2902493
144,2017-01-01,108.1149369174753,0.0,2.8262313294276176,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,29.914004323808427,61.77817333528661,194.83936174957168,76.82057457054866,276196544.3288997,0.0,7220571.57872574,76426833.27409577,157813369.15400934,497784648.5412243,2550114889.2894907
145,2017-02-01,128.87456741416665,0.0,10.750496398616532,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,45.44417775908127,61.934128823278115,205.58512618276214,81.2226658303871,329235302.9139367,0.0,27464525.80693691,116103711.49778606,158214061.71079272,525237652.4396449,2550114889.2894907
146,2017-03-01,74.60248904713974,0.0,31.72547391874103,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,14.412391296491977,41.64515642105625,192.40459359361273,74.5763965885426,190583023.24136877,0.0,81045262.46887411,36822579.42340049,106385447.7342131,491567386.0545259,2550114889.2894907
147,2017-04-01,81.09047626769424,0.44722570362915814,44.49650142551571,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,15.199011861532538,29.288702679031168,184.95807959885673,69.76613951125118,207161681.871797,1142543.454858469,113671633.19158438,38833728.83213423,74820497.26011173,472545752.0973531,2550114889.2894907
148,2017-05-01,23.77743141378343,1.1627868050048997,52.382690342400025,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,1.2781966304254764,6.426815742350084,150.33440210997802,53.0894101577201,60745880.08089104,2970612.9201978347,133822806.52393724,3265815.8860874195,16419484.558365336,384092040.05385727,2550114889.2894907
149,2017-06-01,17.16553804004755,1.7889028145166326,59.46061034780135,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.28813928010893597,0.9983217981547677,115.62764196114449,37.730631179862336,43850631.81456974,4570173.819433876,151913647.9956962,736147.3276649904,2550277.6316930847,295416572.9359904,2550114889.2894907
150,2017-07-01,14.691593185638142,2.3255736100097995,47.07108090606951,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.23998095185549656,0.8792033625207785,100.14810605132334,31.99291688916208,37531544.24975,5941225.840395669,120257741.58644967,613106.0732041197,2245890.708837834,255867591.51610813,2550114889.2894907
151,2017-08-01,16.67291631425991,1.8783478822799093,22.34606886053887,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.4975480500902226,1.1648447015858112,101.3886307236541,33.01061533475021,42597017.29923018,4798682.323976535,57095155.03243238,1271145.4825850518,2975654.217004328,259035306.39652523,2550114889.2894907
152,2017-09-01,68.51175918987342,0.8944514072583163,23.22367399423656,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,3.8255328232989623,9.646484084775837,134.16767472853664,48.95668929536969,175027974.81654066,2285086.909716938,59334451.71300432,9773601.78855757,24640299.42539752,342775123.3492536,2550114889.2894907
153,2017-10-01,9.340087325650003,0.44722570362915814,16.92842653147031,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.09069530922330311,1.0628218239530276,126.31023043379084,46.04752003037068,23860523.472265575,1142543.454858469,43250142.480161965,231689.12800263107,2714973.5381256817,322698583.4319555,2550114889.2894907
154,2017-11-01,52.13132444745531,0.0,5.0132332045407875,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,4.021227181160444,18.376979169050184,151.03011532649472,57.435657060833265,133181023.64183457,0.0,12807184.313781327,10273751.53077181,46943719.219975114,385854952.0092621,2550114889.2894907
155,2017-12-01,25.101171610081032,0.0,3.2361445709182552,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,1.6515812683025284,16.00466709168318,155.2388940056716,59.125632094302496,64124857.50733,0.0,8266925.473632815,4219569.650718975,40885349.21927097,396607965.17296934,2550114889.2894907
156,2018-01-01,47.86501665813477,0.0,7.243892072046095,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,4.449737751603199,29.00451647001765,162.40576437013937,62.505080306271765,122278077.4400468,0.0,18505517.83896027,11368340.738974677,74093337.3313373,414918846.7037449,2550114889.2902493
157,2018-02-01,53.184995484699876,0.0,12.425827152006924,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,6.41390885562472,30.479036698707546,166.27198714849976,64.13077191491077,135870708.09821913,0.0,31742814.265491143,16386435.293789163,77862796.1641465,424797509.07853687,2550114889.2902493
158,2018-03-01,93.77287483370094,0.0,35.793769775385364,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,14.133744211752763,36.63545656735343,173.4818914277092,67.0052671730109,239564443.98534474,0.0,91440719.25712533,36110317.43952609,93591078.64656006,443219837.7206705,2550114889.2902493
159,2018-04-01,56.672803254177424,0.42888633208768095,44.63923712662694,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,6.546236785704087,14.854236897752772,164.55805620021528,61.66890839461879,144785944.12642032,1095679.3734133134,114040740.07442728,16725280.180021925,37947929.83744391,420423741.8749398,2550114889.2902493
160,2018-05-01,66.02122361545571,1.1151045018202086,73.58649765073798,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.6101096354407397,10.686945342211468,146.9135288694457,54.26034332190426,168658708.18996167,2848766.4689559336,187999988.67335245,1558631.106227965,27298055.048906814,375336949.26920146,2550114889.2902493
161,2018-06-01,10.330973422571583,1.7155453283507238,49.36743164736826,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.1109005109208286,0.5797651561336439,113.91947814545905,37.496744287633106,26389859.23770131,4382717.493653254,126115815.96690932,283335.36756934755,1481032.2286374008,291049040.202532,2550114889.2902493
162,2018-07-01,4.214241893767267,2.230209003640417,60.713896399230315,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.056292752699034575,0.35429215837865036,85.66069499210973,26.175509898310438,10768050.712514462,5697532.937911867,155108585.42550567,143800.64293593628,905103.1706544054,218857406.58486184,2550114889.2902493
163,2018-08-01,10.39140993514927,1.80132259809108,35.56515020853349,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.05982885687506524,0.4288434032812694,79.07223650735048,23.822691096875,26547819.32937132,4601853.376836001,90859516.15634535,152835.4590082387,1095535.9253057612,202026468.86665866,2550114889.2902493
164,2018-09-01,0.0,0.8577726641753619,22.64570642049797,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.01998345792133549,0.23726284113229856,71.85657293060895,21.463628223758914,0.0,2191358.746826627,57857356.10641427,51047.45094726761,606146.2262979797,183590657.2927231,2550114889.2902493
165,2018-10-01,54.960226808571036,0.42888633208768095,8.457863659938562,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.9941300176499034,1.7557743138888509,116.03791807979054,42.16377396078943,140408913.9138297,1095679.3734133134,21607792.92318189,2539862.556731909,4485324.246405476,296462270.8536468,2550114889.2902493
166,2018-11-01,20.437504670334324,0.0,5.600794237786454,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.867601668007621,2.973833522874895,127.03319332145585,47.11896659417315,52210363.34777439,0.0,14308670.494763423,2216635.9339421024,7597037.796522917,324550289.97619253,2550114889.2902493
167,2018-12-01,17.324870781630246,0.0,2.8936019051886332,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.21636607472854236,7.282954286662168,133.96514183650666,50.821512212044354,44256825.64693683,0.0,7393795.60219949,552755.7156612343,18604518.327818632,342256045.9774513,2550114889.2902493
168,2019-01-01,64.90180604050917,0.0,7.357531295362554,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,8.085156212042431,27.711338497262663,155.71292187234843,61.53944580576851,165801986.40989286,0.0,18795848.557749722,20656816.205503643,70788380.48226143,397816987.14182884,2550114889.2894907
169,2019-02-01,85.50727677689704,0.0,10.893029550678703,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,16.302716293266634,40.56331245748111,173.46114034781908,67.85962036188478,218446458.8100756,0.0,27826834.44380052,41652329.21928397,103619918.47733364,443164363.8114871,2550114889.2894907
170,2019-03-01,95.55013580426488,0.0,22.740824681522348,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,15.898579699048597,47.88718414874577,182.48468762276713,72.21099224606454,244095613.93801042,0.0,58095701.84371791,40617413.153019786,122329332.25494468,466217530.4978143,2550114889.2894907
171,2019-04-01,114.86216123817232,0.4431856838555286,33.57008043652391,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,30.588564933362477,45.86681932833105,187.76456984657761,74.4259513918674,293433872.9721221,1132218.828600523,85764824.17243582,78144970.21128488,117168246.43341306,479705581.48140365,2550114889.2894907
172,2019-05-01,133.2990918260246,1.1522827954189208,48.73491546646134,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,30.375834486453325,51.98311973273174,191.13792249571213,76.06996108816683,340529361.80335593,2943768.998804397,124507418.94429466,77602610.73047595,132786734.20403542,488322444.94436604,2550114889.2894907
173,2019-06-01,9.407208541636644,1.7727427354221144,69.93464570795508,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.05455235644490474,6.193603313275664,128.90117534618864,45.82691135345807,24032174.81408555,4528875.314402092,178676252.36365017,139362.30798120427,15819135.011637209,329316985.80164284,2550114889.2894907
174,2019-07-01,5.576916865945536,2.3045655908378415,41.642422670762684,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.13042952961341864,0.7615967787943058,105.97297749570873,35.4297435209641,14246822.738600535,5887537.997608794,106387915.28332679,333206.32276844577,1945432.6591220757,270742735.2284255,2550114889.2894907
175,2019-08-01,4.963623223056351,1.86137986670578,41.56138770650035,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.10964683856775062,0.3941007720121282,89.66189816235328,28.79807061390717,12679167.09736883,4755319.066115355,106179953.9882133,280116.4789714237,1006794.6120963761,229073726.541828,2550114889.2894907
176,2019-09-01,84.17716715899847,0.8863713677110572,28.164778254825144,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,2.521425284307949,10.209248854923615,134.03703334376297,49.65839870352653,215047745.70671755,2264437.657201046,71954268.94260731,6441813.668887042,26076903.525291666,342442011.2637636,2550114889.2894907
177,2019-10-01,16.916135491316247,0.4431856838555286,11.726637041310827,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.3774553501276435,4.937680742283764,134.57422816688654,50.023810344338926,43215260.93492656,1132218.828600523,29957764.377007797,964349.8608713271,12613935.94191445,343814671.26215196,2550114889.2894907
178,2019-11-01,31.775098667137524,0.0,2.555966450512053,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,2.7477707401572617,12.822311194336725,148.22927963806674,56.22989335431914,81181745.02208252,0.0,6529636.877816135,7020432.059047909,32758358.466862798,378703313.1157761,2550114889.2894907
179,2019-12-01,70.49424243317748,0.0,1.750815566815101,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,11.060669790876478,38.80403426399993,167.10800244955215,64.71704110066503,180088209.1814098,0.0,4472879.472905373,28259506.03349852,99124600.40133706,426934536.38944477,2550114889.2894907
180,2020-01-01,65.8250593371695,0.0,6.815553004937905,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,11.305879917276187,41.67649018804374,173.13513867646427,67.064476403834,168157787.34364694,0.0,17411066.54180513,28885500.70338572,106461663.4228051,442334093.06509507,2550114889.2902493
181,2020-02-01,37.68837162930906,0.0,15.866296145123323,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,2.92966031971207,24.401323878411066,167.62622996252688,64.8222365327098,96276951.2018687,0.0,40533418.33775088,7484455.170728989,62333939.60841402,428259231.15007055,2550114889.2902493
182,2020-03-01,90.78552900994917,0.0,32.034158669559694,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,12.399223316076867,36.771146585311676,177.20723040152768,69.0650355585452,231924288.73160782,0.0,81835446.92785512,31678015.617698487,93934085.35891181,452735971.9772132,2550114889.2902493
183,2020-04-01,42.567207262013476,0.44829853837750105,58.94208631658421,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.8669033805782217,14.031823639771078,146.4756227054086,55.24760104963533,108742289.85836324,1145264.6024242523,150582348.7768662,2214564.585019837,35842615.333439045,374223376.302179,2550114889.2902493
184,2020-05-01,32.92664025476068,1.165576188113939,37.51976080798659,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,0.6983170157509111,4.676633793724711,138.7265086740933,49.731220107057446,84116913.04696989,2977687.9365042215,95852761.23501544,1784142.1747986134,11946112.526653087,354426452.24061775,2550114889.2902493
185,2020-06-01,60.53060877339601,1.7931941535100042,36.42109640414061,522.8796280616359,0.49980687835311305,130.82777363272555,57.47232087972411,9660.097479717571,4.826706408926825,11.208950680383143,149.89516263836904,54.116998569223405,154636777.7102328,4581058.409697009,93046817.05787024,12332052.17156136,28632059.157339323,382959268.2403888,2550114889.2902493
