,Date,precip_and_snowmelt_input_Upper Weber_mean,irrigation_Upper Weber_mean,AET_Upper Weber_mean,soil_thickness_Upper Weber_mean,soil_porosity_Upper Weber_mean,field_capacity_Upper Weber_mean,wilting_point_Upper Weber_mean,Geo_K_Upper Weber_mean,Runoff_Upper Weber_mean,Recharge_Upper Weber_mean,Soil_Water_End_Of_Previous_Timestep_Upper Weber_mean,Soil_Saturation_Percent_End_Of_Timestep_Upper Weber_mean,precip_and_snowmelt_input_m3_Upper Weber_sum,irrigation_m3_Upper Weber_sum,AET_m3_Upper Weber_sum,Runoff_m3_Upper Weber_sum,Recharge_m3_Upper Weber_sum,Soil_Water_End_Of_Previous_Timestep_m3_Upper Weber_sum,Upper Weber_area_m2
42,2024-03-01,103.53649960739597,0.0,23.248910589730627,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,11.969002950964619,70.10562808417635,119.5373055388451,60.8086120107582,312662648.5598432,0.0,70207577.53023009,36144689.09937566,211706923.36307678,360862327.86919785,3016627290.2777414
43,2024-03-01,103.53649960739597,0.0,23.248910589730627,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,11.969002950964619,70.10562808417635,119.5373055388451,60.8086120107582,312662648.5598432,0.0,70207577.53023009,36144689.09937566,211706923.36307678,360862327.86919785,3016627290.2777414
44,2024-03-01,103.53649960739597,0.0,23.248910589730627,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,11.969002950964619,70.10562808417635,119.5373055388451,60.8086120107582,312662648.5598432,0.0,70207577.53023009,36144689.09937566,211706923.36307678,360862327.86919785,3016627290.2777414
45,2024-03-01,103.53649960739597,0.0,23.248910589730627,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,11.969002950964619,70.10562808417635,119.5373055388451,60.8086120107582,312662648.5598432,0.0,70207577.53023009,36144689.09937566,211706923.36307678,360862327.86919785,3016627290.2777414
46,2024-03-01,103.53649960739597,0.0,23.248910589730627,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,11.969002950964619,70.10562808417635,119.5373055388451,60.8086120107582,312662648.5598432,0.0,70207577.53023009,36144689.09937566,211706923.36307678,360862327.86919785,3016627290.2777414
47,2024-03-01,103.53649960739597,0.0,23.248910589730627,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,11.969002950964619,70.10562808417635,119.5373055388451,60.8086120107582,312662648.5598432,0.0,70207577.53023009,36144689.09937566,211706923.36307678,360862327.86919785,3016627290.2777324
48,2024-03-01,103.53649960739597,0.0,23.248910589730627,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,11.969002950964619,70.10562808417635,119.5373055388451,60.8086120107582,312662648.5598432,0.0,70207577.53023009,36144689.09937566,211706923.36307678,360862327.86919785,3016627290.2777414
49,2024-03-01,103.53649960739597,0.0,23.248910589730627,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,11.969002950964619,70.10562808417635,119.5373055388451,60.8086120107582,312662648.5598432,0.0,70207577.53023009,36144689.09937566,211706923.36307678,360862327.86919785,3016627290.2777414
50,2024-03-01,103.53649960739597,0.0,23.248910589730627,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,11.969002950964619,70.10562808417635,119.5373055388451,60.8086120107582,312662648.5598432,0.0,70207577.53023009,36144689.09937566,211706923.36307678,360862327.86919785,3016627290.2777324
51,2024-03-01,103.53649960739597,0.0,23.248910589730627,420.94427875386936,0.5085043070792337,100.9033465998226,52.002674643075714,15493.42717886482,11.969002950964619,70.10562808417635,119.5373055388451,60.8086120107582,312662648.5598432,0.0,70207577.53023009,36144689.09937566,211706923.36307678,360862327.86919785,3016627290.2777324
