,Date,precip_and_snowmelt_input_Provo_mean,irrigation_Provo_mean,AET_Provo_mean,soil_thickness_Provo_mean,soil_porosity_Provo_mean,field_capacity_Provo_mean,wilting_point_Provo_mean,Geo_K_Provo_mean,Runoff_Provo_mean,Recharge_Provo_mean,Soil_Water_End_Of_Previous_Timestep_Provo_mean,Soil_Saturation_Percent_End_Of_Timestep_Provo_mean,precip_and_snowmelt_input_m3_Provo_sum,irrigation_m3_Provo_sum,AET_m3_Provo_sum,Runoff_m3_Provo_sum,Recharge_m3_Provo_sum,Soil_Water_End_Of_Previous_Timestep_m3_Provo_sum,Provo_area_m2
0,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
1,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
2,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
3,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
4,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
5,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
6,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
7,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
8,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
9,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
10,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1989698
11,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
12,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
13,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
14,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
15,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
16,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
17,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
18,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
19,2024-01-01,113.53876962925257,0.0,4.249980049831088,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,14.405829967557855,65.30900832779544,127.8281117182115,62.911544679665575,201018765.29355302,0.0,7524395.907918378,25505417.15775718,115628804.45526375,225293730.71518585,1768697543.1987317
20,2024-02-01,158.94985391407155,0.0,11.756239969498402,433.29388879031313,0.5066978863191176,105.74241701469984,54.75155577471049,18427.989127469547,35.36779333191058,84.80966092524503,154.8027526031297,76.21511310287202,281418118.38625747,0.0,20813898.023261305,62618251.01136878,150154320.50385752,272835908.9453682,1768697543.1987317
