,Date,precip_and_snowmelt_input_Little Bear-Logan_mean,irrigation_Little Bear-Logan_mean,AET_Little Bear-Logan_mean,soil_thickness_Little Bear-Logan_mean,soil_porosity_Little Bear-Logan_mean,field_capacity_Little Bear-Logan_mean,wilting_point_Little Bear-Logan_mean,Geo_K_Little Bear-Logan_mean,Runoff_Little Bear-Logan_mean,Recharge_Little Bear-Logan_mean,Soil_Water_End_Of_Previous_Timestep_Little Bear-Logan_mean,Soil_Saturation_Percent_End_Of_Timestep_Little Bear-Logan_mean,precip_and_snowmelt_input_m3_Little Bear-Logan_sum,irrigation_m3_Little Bear-Logan_sum,AET_m3_Little Bear-Logan_sum,Runoff_m3_Little Bear-Logan_sum,Recharge_m3_Little Bear-Logan_sum,Soil_Water_End_Of_Previous_Timestep_m3_Little Bear-Logan_sum,Little Bear-Logan_area_m2
0,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5150714
1,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
2,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
3,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
4,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
5,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
6,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
7,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
8,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
9,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
10,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5150714
11,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
12,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
13,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
14,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
15,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
16,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
17,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
18,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
19,2024-01-01,112.64237273968905,0.0,5.154305559841053,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,16.86796943824878,75.84132253024531,162.33529191094576,72.29682104968055,257877903.9772453,0.0,11799873.048277218,38616493.99740393,173627950.4354261,371178312.4986108,2286464595.5050893
20,2024-02-01,159.06150193664826,0.0,11.655107806130664,456.66032845814385,0.5129025542991709,118.55163540576265,59.40132882102664,14015.903144213453,40.594861012622914,86.78766962686947,182.2826300516621,81.1356988611279,364145530.5644678,0.0,26682404.431270387,92935207.89832447,198686917.18253505,416787853.252506,2286464595.5150714
