,Date,"precip_and_snowmelt_input_Pilot-Thousand Springs, Nevada, Utah_mean","irrigation_Pilot-Thousand Springs, Nevada, Utah_mean","AET_Pilot-Thousand Springs, Nevada, Utah_mean","soil_thickness_Pilot-Thousand Springs, Nevada, Utah_mean","soil_porosity_Pilot-Thousand Springs, Nevada, Utah_mean","field_capacity_Pilot-Thousand Springs, Nevada, Utah_mean","wilting_point_Pilot-Thousand Springs, Nevada, Utah_mean","Geo_K_Pilot-Thousand Springs, Nevada, Utah_mean","Runoff_Pilot-Thousand Springs, Nevada, Utah_mean","Recharge_Pilot-Thousand Springs, Nevada, Utah_mean","Soil_Water_End_Of_Previous_Timestep_Pilot-Thousand Springs, Nevada, Utah_mean","Soil_Saturation_Percent_End_Of_Timestep_Pilot-Thousand Springs, Nevada, Utah_mean","precip_and_snowmelt_input_m3_Pilot-Thousand Springs, Nevada, Utah_sum","irrigation_m3_Pilot-Thousand Springs, Nevada, Utah_sum","AET_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Runoff_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Recharge_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Soil_Water_End_Of_Previous_Timestep_m3_Pilot-Thousand Springs, Nevada, Utah_sum","Pilot-Thousand Springs, Nevada, Utah_area_m2"
0,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
1,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
2,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
3,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
4,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.647639
5,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
6,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
7,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
8,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
9,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.647639
10,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
11,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
12,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
13,2024-01-01,19.498230984383607,0,5.019972345982487,513.4541259698109,0.4893978590340014,120.45382074657186,46.313052428786115,4086.979308347153,2.910640066113498,8.65241208443058,170.4110500260802,65.97866759786577,10698725.47389299,0,2754445.291505881,1597020.2085871403,4747677.1384185,93503262.41760841,443313336.6475908
