,Date,precip_and_snowmelt_input_Escalante Desert_mean,irrigation_Escalante Desert_mean,AET_Escalante Desert_mean,soil_thickness_Escalante Desert_mean,soil_porosity_Escalante Desert_mean,field_capacity_Escalante Desert_mean,wilting_point_Escalante Desert_mean,Geo_K_Escalante Desert_mean,Runoff_Escalante Desert_mean,Recharge_Escalante Desert_mean,Soil_Water_End_Of_Previous_Timestep_Escalante Desert_mean,Soil_Saturation_Percent_End_Of_Timestep_Escalante Desert_mean,precip_and_snowmelt_input_m3_Escalante Desert_sum,irrigation_m3_Escalante Desert_sum,AET_m3_Escalante Desert_sum,Runoff_m3_Escalante Desert_sum,Recharge_m3_Escalante Desert_sum,Soil_Water_End_Of_Previous_Timestep_m3_Escalante Desert_sum,Escalante Desert_area_m2
0,2005-01-01,74.80868500095345,0.0,8.61912219956177,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,15.019212127927405,39.37319896789135,162.55410166693358,65.30961330428434,3192070312.49994,0.0,367752913.35114753,640778361.9493585,1680130226.260708,6934330041.60968,42638153503.707245
1,2005-02-01,50.11445853889005,0.0,8.856343982824026,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,8.702000173895666,32.51562836313723,162.58849708746047,64.85315118992544,2138321610.7222543,0.0,377877546.391895,371232781.63478965,1387503284.0126867,6935777865.24599,42638153503.707245
2,2005-03-01,60.46661540353024,0.0,13.924024440188143,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,11.616593986310969,33.870148033171546,163.63551441933345,64.74729440832947,2580135811.5705075,0.0,594127767.6834491,495633254.404512,1445316398.2747838,6980450950.935245,42638153503.707245
3,2005-04-01,53.69077785166932,1.7614342497679822,18.682572737506074,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,8.52447521405347,32.469554960116525,159.4405554201011,62.88814432033963,2290860011.9910135,75167331.27376384,797168753.4048388,363675653.14329183,1385482214.4670577,6801440958.262811,42638153503.707245
4,2005-05-01,44.38925298503084,4.579729009268927,28.569380542444197,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,6.264629207486177,26.413347110536478,147.73604899268997,57.92970605139804,1894215189.493395,195435059.5994512,1219100998.6542947,267291122.678984,1127140212.587224,6302139904.480866,42638153503.707245
5,2005-06-01,44.75090819871014,7.045736999071929,29.626064202147738,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,4.829218646647916,27.346148991357133,140.50843917140196,55.020179706483994,1909473060.8011675,300669325.09505534,1264161080.5791914,206017007.22329816,1166903001.8381724,5993769765.738061,42638153503.707245
6,2005-07-01,9.23016629639367,9.159458018537855,21.68175640984979,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,1.8577285620544794,9.190887615134077,132.848958021641,50.703132077120955,393788482.0711499,390870119.1989024,925227607.9564921,79249480.6152414,392156403.6391796,5666981263.429495,42638153503.707245
7,2005-08-01,29.666537579997758,7.398023754215945,23.113616998001,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,3.468778516267846,18.424201423699003,130.4420841366864,50.16385505271686,1265779104.5861533,315702787.30345565,986264264.302137,147985116.29851684,786134273.162833,5564320513.107364,42638153503.707245
8,2005-09-01,18.560616610888626,3.5228684995359645,16.953917108729232,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,2.047260397070612,10.694088334511074,127.67487644821055,48.92714326500405,792066915.7021624,150334662.54752767,723470306.1543645,87347763.04849172,456362172.7787341,5446293345.229928,42638153503.707245
9,2005-10-01,46.4503325366922,1.7614342497679822,13.56674053144952,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,5.8175744338948325,23.898575613060157,133.2282663441763,51.565187187648355,1982024194.8201396,75167331.27376384,578888779.1609261,248203522.0423209,1019764467.3738441,5683231979.194964,42638153503.707245
10,2005-11-01,15.445741258759769,0.0,4.7443817030451845,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,0.7974621704294095,10.379722549222596,133.25309115538607,51.494423880116905,659131845.0567615,0.0,202451714.9726643,34021792.10404003,442951403.65165335,5684297990.015917,42638153503.707245
11,2005-12-01,33.76973539251077,0.0,6.687725989693858,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,3.0431990075784032,19.69176162254562,137.6714769318112,53.56057706763831,1441106938.9251492,0.0,285378552.5690726,129843211.6785369,840356042.4590763,5872835062.639669,42638153503.707245
12,2006-01-01,35.15890653476281,0.0,6.951387963855433,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,3.9695376965758395,20.64699460990308,141.32568238262692,54.876630829277,1500401641.617834,0.0,296619004.2542793,169378546.76978296,881135047.9636589,6028770823.328265,42638153503.707245
13,2006-02-01,23.56477361191056,0.0,4.703670119052374,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,2.3330774854101204,15.843227458862566,142.0727302894314,55.1269054937317,1005596142.6382587,0.0,200723398.15911815,99544604.10799423,676108118.2224772,6060640215.472025,42638153503.707245
14,2006-03-01,80.83583580851689,0.0,15.820551048746623,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,12.485364135611077,40.20924049856592,154.39760242444692,62.145967877625495,3449166799.7684975,0.0,675030548.9828789,532669941.2228929,1715790888.6128197,6586395799.729406,42638153503.707245
15,2006-04-01,39.45469788127863,1.8879543527063014,17.314147794835186,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,5.627660922706385,26.039267135889933,147.18555079675696,58.101059441281485,1683618745.6722503,80566030.43337707,738831539.8980978,240112623.1692228,1111170547.981147,6278716696.518539,42638153503.707245
16,2006-05-01,3.931011939135139,4.908681297606465,15.737517196429305,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,0.8418686756014095,6.558522180831554,135.98551602279284,52.09549549981341,167744362.25318155,209471678.29789087,671562474.7206222,35919708.276557855,279871626.19677174,5800862668.886876,42638153503.707245
17,2006-06-01,3.0544034393368653,7.551817410825206,16.98516609463977,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,1.2598028897128013,2.1966970274957096,132.32315345212183,50.39239812492117,130337046.59321907,322264121.7335083,724827806.4557672,53755432.683954105,93735914.97774361,5644595025.728221,42638153503.707245
18,2006-07-01,38.1437026441882,9.81736259521293,23.741790506238072,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,5.891241308137463,22.195343632092783,133.95405294690718,51.55832840955663,1627468140.6195257,418943356.59578174,1013101815.9924461,251339375.7075345,947039709.448952,5714155624.303255,42638153503.707245
19,2006-08-01,12.297545256896662,7.929408215864859,20.010520514598966,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,2.1715050512299805,9.119980950898974,129.9531991887533,49.57498748004464,524828030.57811785,338377325.0232068,853914746.407893,92656164.13171497,389215086.73141444,5543491703.902077,42638153503.707245
20,2006-09-01,33.91333248026354,3.775908705412603,17.47579602288475,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,4.35342773083344,18.33140085347398,130.43390750855795,50.027248041376744,1447189142.4287643,161132060.86675414,745741201.4461313,185739692.05601177,782286770.2642628,5564009777.643026,42638153503.707245
21,2006-10-01,82.30590009644521,1.8879543527063014,20.494591783312814,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,11.256888086996032,38.618842238960426,144.40097227512044,57.7817761789947,3512003276.1723757,80566030.43337707,874496979.3357646,480262951.0513479,1647937681.256809,6159891850.672516,42638153503.707245
22,2006-11-01,15.304989381871714,0.0,4.507394889770481,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,0.7397985501809142,15.19595941434739,139.55524066507016,54.14373726475929,653207993.469121,0.0,192347783.94769529,31569914.462036464,648515368.3950704,5953177851.140526,42638153503.707245
23,2006-12-01,39.27247011675196,0.0,3.7510215356980168,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,6.063593741816988,22.362793261395815,146.67799991606103,56.69505642646218,1675718757.4591587,0.0,160032184.54629543,258696710.6921514,954250730.811227,6257040654.889922,42638153503.707245
24,2007-01-01,25.88320095964504,0.0,2.0409110694673678,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,3.5116249909354114,16.905837441442806,150.10696319793112,57.64789766811342,1104442275.0635967,0.0,87072709.03929159,149820052.1549128,721421492.159513,6403317427.233932,42638153503.707245
25,2007-02-01,39.61584167147388,0.0,6.694420703834395,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,5.1822516859393595,24.39146955610643,153.46509660325708,58.89577701362988,1690450034.362791,0.0,285649647.92657864,221091897.45644918,1040870761.4488983,6546573124.579661,42638153503.707245
26,2007-03-01,23.479017188659327,0.0,8.8389204434461,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,2.5809617529484195,14.782028319552722,150.86741699209304,57.89366256760181,1001908109.1112988,0.0,377169937.2728029,110112328.86380191,630808294.9584273,6435751535.133976,42638153503.707245
27,2007-04-01,30.77713996033772,1.8531395207731662,17.168448292583594,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,3.0179466562033115,19.049489334185385,145.15579632967678,55.88020028481177,1313213647.2489226,79082000.22893749,732590204.0552713,128742535.53631368,812851440.3203697,6192052093.4915695,42638153503.707245
28,2007-05-01,17.442691127667448,4.818162746660017,19.91232429535432,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,1.8896667058967285,10.425803861003034,139.03804744651887,53.23231407360441,744383566.6956573,205613200.28010267,849734786.1396949,80628435.15370357,444942254.8694126,5931031280.483924,42638153503.707245
29,2007-06-01,11.714145079432905,7.412558083092665,20.12624360118166,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,1.9217696033793656,6.797193609910192,135.94005466900813,51.74029418592157,499908234.6093326,316328000.91574997,858873231.9456638,82001108.15614836,290083099.8579028,5798849385.637009,42638153503.707245
30,2007-07-01,25.0252370283436,9.636325493320035,21.420313780539313,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,3.3092033308524225,16.606082390574823,135.5131878370615,51.69115461524479,1067846421.4220666,411226400.56020534,914068919.5873034,141197036.00460282,708620759.5202609,5780637191.689513,42638153503.707245
31,2007-08-01,31.252258414067406,7.783185974015438,23.662747650415028,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,4.767265224589719,18.286534470961183,134.0866041440819,51.199458870598754,1333584284.8234534,332144400.39550245,1009746417.4454634,203405938.8694539,780345154.7894306,5719786672.1028595,42638153503.707245
32,2007-09-01,36.15024233854977,3.7062790415463325,18.669329108286128,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,4.043608166940219,20.81384156089782,134.01240495198672,51.447676893898404,1542505173.986463,158164000.45787498,796647785.9346135,172509753.804353,888137696.2914902,5716616188.842557,42638153503.707245
33,2007-10-01,14.891684948301464,1.8531395207731662,10.679217336666662,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,1.8413693513584877,7.932403622055953,132.85520230147657,50.69272611292102,635566563.4698167,79082000.22893749,455741338.6534261,78573024.19905227,338546830.9185932,5667262729.857048,42638153503.707245
34,2007-11-01,12.263699585757575,0.0,5.446872099933952,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,0.9118355905154658,7.808659736168922,132.30894591338395,50.423710187332425,523211073.9674715,0.0,232431086.68008515,38891447.62586677,333155667.0534608,5643930563.4008465,42638153503.707245
35,2007-12-01,74.20459834172024,0.0,6.839130500731524,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,9.890959814224297,37.60807716502304,152.1695616724835,60.39262158089,3166440737.355657,0.0,291805700.87336886,421994998.73753476,1604850595.0040529,6491312915.837835,42638153503.707245
36,2008-01-01,54.19947345549007,0.0,2.208542850537116,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,7.810937688036518,35.32000296453624,161.02131211119297,64.17978155994065,2312801702.0309687,0.0,94212341.39914538,333269647.9420642,1507243334.4785824,6868966823.917557,42638153503.65924
37,2008-02-01,60.30704937175854,0.0,7.333580989493914,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,10.221861876856227,37.868555873624416,165.8981644644161,65.73003215176053,2573337312.063795,0.0,312896224.2308979,436117838.336711,1615966490.3583074,7077020050.970378,42638153503.65924
38,2008-03-01,25.248226546148977,0.0,4.653510277868554,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,2.775257527658812,22.20231025034504,161.51602181654428,62.87644178004406,1077445168.0791433,0.0,198572788.69852573,118415448.06170578,947489798.7201873,6890052488.766002,42638153503.65924
39,2008-04-01,9.359529027882928,1.7670886561964925,7.541130365596204,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,0.5871547626779339,10.904241064631165,153.73213584880727,58.43336644839576,399479000.21421605,75407913.22718537,321809560.3426564,25058184.507582866,465377710.1771705,6557962767.387919,42638153503.65924
40,2008-05-01,34.315764060450846,4.594430505491199,18.58623917940684,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,4.464677123046813,19.348295905376627,150.90249699235048,57.47613875052179,1464303315.972372,196060574.36543205,793116462.6838661,190488049.00592884,825651294.0346531,6437225010.592039,42638153503.65924
41,2008-06-01,25.536345878543898,7.06835462478597,21.800809065281857,512.7659224102624,0.4956146233909579,114.6228038992685,57.558920334711445,10066.425853976156,5.186763713502203,12.641477199441448,146.98320932987627,55.8590515340914,1089690420.0019825,301631652.9087415,930310856.9938414,221308304.7720279,539463472.5932622,6269977862.10528,42638153503.65924
