,Date,precip_and_snowmelt_input_Escalante Desert_mean,irrigation_Escalante Desert_mean,AET_Escalante Desert_mean,soil_thickness_Escalante Desert_mean,soil_porosity_Escalante Desert_mean,field_capacity_Escalante Desert_mean,wilting_point_Escalante Desert_mean,Geo_K_Escalante Desert_mean,Runoff_Escalante Desert_mean,Recharge_Escalante Desert_mean,Soil_Water_End_Of_Previous_Timestep_Escalante Desert_mean,Soil_Saturation_Percent_End_Of_Timestep_Escalante Desert_mean,precip_and_snowmelt_input_m3_Escalante Desert_sum,irrigation_m3_Escalante Desert_sum,AET_m3_Escalante Desert_sum,Runoff_m3_Escalante Desert_sum,Recharge_m3_Escalante Desert_sum,Soil_Water_End_Of_Previous_Timestep_m3_Escalante Desert_sum,Escalante Desert_area_m2
0,2005-01-01,68.96749054279535,0.0,17.58523357720538,507.66134625949127,0.4955807342697602,113.5754563868023,56.9857943567583,10206.05456546076,4.484292966804377,28.94178306704853,125.10899289447569,50.810973953287444,2942704934.6341,0.0,750280134.5365179,191328029.36458015,1234925464.1313758,5337732311.816505,42638153503.707245
1,2005-02-01,45.221301074806945,0.0,26.8150923766745,507.66134625949127,0.4955807342697602,113.5754563868023,56.9857943567583,10206.05456546076,1.92428281473545,18.675720010915306,123.09418609868655,49.33054522967545,1929444631.2093225,0.0,1144094003.6862917,82093933.92849529,796906618.5603206,5251718471.091313,42638153503.707245
2,2005-03-01,52.32972190938464,0.0,42.01258324383441,507.66134625949127,0.4955807342697602,113.5754563868023,56.9857943567583,10206.05456546076,2.5356906073511767,13.292780603855737,118.38082266794947,46.11129500926729,2232749741.4004745,0.0,1792502130.3528152,108190556.85688485,567240360.8285444,5050581729.872933,42638153503.707245
3,2005-04-01,48.76916601009551,1.7713489200820367,56.84379134995933,507.66134625949127,0.4955807342697602,113.5754563868023,56.9857943567583,10206.05456546076,1.2282068914360624,8.014080773625842,105.64227985254888,39.60942152834203,2080761447.5321412,75584894.06859696,2425340864.5411863,52393713.63555516,341981390.32273597,4506986254.151252,42638153503.707245
4,2005-05-01,41.27544992809368,4.605507156893882,78.59733224154593,507.66134625949127,0.4955807342697602,113.5754563868023,56.9857943567583,10206.05456546076,0.6127967135724341,2.739318365565652,80.8673551228761,28.19085604663567,1761231893.8709917,196520723.0710585,3353562987.4414253,26149188.10817369,116898597.71272238,3449992876.3978295,42638153503.707245
5,2005-06-01,41.53730939052702,7.085395680328147,72.74862982675785,507.66134625949127,0.4955807342697602,113.5754563868023,56.9857943567583,10206.05456546076,1.645242376556296,1.048749298676513,71.20059437057658,23.59083242493082,1772251574.6030178,302339576.27438784,3104074342.401389,70194628.95972382,44752938.31213766,3037477521.9169416,42638153503.707245
6,2005-07-01,11.168379582337238,9.211014313787764,69.19256991295364,507.66134625949127,0.4955807342697602,113.5754563868023,56.9857943567583,10206.05456546076,1.9523179314919987,0.5956240563219541,58.225015855980295,18.29084770890776,476440425.91100335,393041446.142117,2952374548.316878,83293651.09620671,25418055.31095891,2483842485.715108,42638153503.707245
7,2005-08-01,30.757410334272134,7.439665395656287,64.91023609899662,507.66134625949127,0.4955807342697602,113.5754563868023,56.9857943567583,10206.05456546076,2.1037288284280864,0.6854862242939578,54.86148680312471,17.096744410334335,1312211911.1738465,317456552.1563679,2769551483.9964914,89755833.46383312,29250778.38858006,2340360880.603592,42638153503.707245
8,2005-09-01,17.14819078682498,3.5426978401640734,43.30433965660122,507.66134625949127,0.4955807342697602,113.5754563868023,56.9857943567583,10206.05456546076,0.67317464674088,0.3294507450754595,52.706590785773386,16.365499572033848,731737943.3911606,151169788.13719392,1847699717.3521316,28726100.66667284,14058878.797376903,2248473678.135944,42638153503.707245
9,2005-10-01,42.603482264009976,1.7713489200820367,33.79067154806336,507.66134625949127,0.4955807342697602,113.5754563868023,56.9857943567583,10206.05456546076,1.2233794147169161,0.7756054671115375,64.17046739981484,21.282598814090832,1817725041.3404007,75584894.06859696,1441746207.8504822,52198532.80682192,33094210.872767672,2737588884.8772106,42638153503.707245
