,Date,precip_and_snowmelt_input_Goose_mean,irrigation_Goose_mean,AET_Goose_mean,soil_thickness_Goose_mean,soil_porosity_Goose_mean,field_capacity_Goose_mean,wilting_point_Goose_mean,Geo_K_Goose_mean,Runoff_Goose_mean,Recharge_Goose_mean,Soil_Water_End_Of_Previous_Timestep_Goose_mean,Soil_Saturation_Percent_End_Of_Timestep_Goose_mean,precip_and_snowmelt_input_m3_Goose_sum,irrigation_m3_Goose_sum,AET_m3_Goose_sum,Runoff_m3_Goose_sum,Recharge_m3_Goose_sum,Soil_Water_End_Of_Previous_Timestep_m3_Goose_sum,Goose_area_m2
118,2024-06-01,21.08321853078802,1.5370688689680752,70.39289487585846,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.936597966364511,0.4451730081932845,13458906.408500455,981212.6870917466,44936895.33114509,0,0.0,597978.7389458927,638199980.715298
119,2024-06-01,21.08321853078802,1.5370688689680752,70.39289487585846,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.936597966364511,0.4451730081932845,13458906.408500455,981212.6870917466,44936895.33114509,0,0.0,597978.7389458927,638199980.715298
120,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
121,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
122,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
123,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
124,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
125,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
126,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
127,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
128,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
129,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
130,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
131,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
132,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
133,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
134,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
135,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
136,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
137,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
138,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
139,2024-07-01,15.396305895503474,1.9981893438922627,66.21236133122028,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,9828530.235625032,1275576.3746315136,42268455.20429803,0,0.0,0.0,638199980.715298
140,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
141,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
142,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
143,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
144,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
145,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
146,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
147,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
148,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
149,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
150,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
151,2024-08-01,8.467572166931925,1.6139222306041447,53.0039619651347,373.8786438523508,0.527646482671718,95.60817654308033,35.460919646847906,6941.301351108305,0,0.0,0.0,0.0,5405462.954513783,1030273.269218859,33836485.02083137,0,0.0,0.0,638199980.715298
