,Date,precip_and_snowmelt_input_Sevier Lake_mean,irrigation_Sevier Lake_mean,AET_Sevier Lake_mean,soil_thickness_Sevier Lake_mean,soil_porosity_Sevier Lake_mean,field_capacity_Sevier Lake_mean,wilting_point_Sevier Lake_mean,Geo_K_Sevier Lake_mean,Runoff_Sevier Lake_mean,Recharge_Sevier Lake_mean,Soil_Water_End_Of_Previous_Timestep_Sevier Lake_mean,Soil_Saturation_Percent_End_Of_Timestep_Sevier Lake_mean,precip_and_snowmelt_input_m3_Sevier Lake_sum,irrigation_m3_Sevier Lake_sum,AET_m3_Sevier Lake_sum,Runoff_m3_Sevier Lake_sum,Recharge_m3_Sevier Lake_sum,Soil_Water_End_Of_Previous_Timestep_m3_Sevier Lake_sum,Sevier Lake_area_m2
0,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
1,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.846993
2,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
3,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
4,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
5,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
6,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
7,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
8,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
9,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
10,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
11,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.846993
12,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
13,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
14,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
15,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
16,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.846993
17,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
18,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
19,2024-01-01,18.003464743688877,0.0,22.38193048114997,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.0,0.13117466904558586,30.66931299662254,12.556279567619034,65050327.78744342,0.0,80873704.09943855,0.0,473988.2169376603,110809134.8057127,3611099971.8449254
20,2024-02-01,33.377770797125926,0.0,25.300680474368008,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.004395327202079102,0.4880214250975808,39.52207691916649,16.806691456478177,120600572.14567326,0.0,91420227.03250997,15881.423226458664,1763305.3525434893,142792809.04159546,3611099971.8449254
21,2024-02-01,33.377770797125926,0.0,25.300680474368008,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.004395327202079102,0.4880214250975808,39.52207691916649,16.806691456478177,120600572.14567326,0.0,91420227.03250997,15881.423226458664,1763305.3525434893,142792809.04159546,3611099971.8449254
22,2024-02-01,33.377770797125926,0.0,25.300680474368008,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.004395327202079102,0.4880214250975808,39.52207691916649,16.806691456478177,120600572.14567326,0.0,91420227.03250997,15881.423226458664,1763305.3525434893,142792809.04159546,3611099971.846993
23,2024-02-01,33.377770797125926,0.0,25.300680474368008,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.004395327202079102,0.4880214250975808,39.52207691916649,16.806691456478177,120600572.14567326,0.0,91420227.03250997,15881.423226458664,1763305.3525434893,142792809.04159546,3611099971.8449254
24,2024-02-01,33.377770797125926,0.0,25.300680474368008,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.004395327202079102,0.4880214250975808,39.52207691916649,16.806691456478177,120600572.14567326,0.0,91420227.03250997,15881.423226458664,1763305.3525434893,142792809.04159546,3611099971.8449254
25,2024-02-01,33.377770797125926,0.0,25.300680474368008,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.004395327202079102,0.4880214250975808,39.52207691916649,16.806691456478177,120600572.14567326,0.0,91420227.03250997,15881.423226458664,1763305.3525434893,142792809.04159546,3611099971.8449254
26,2024-02-01,33.377770797125926,0.0,25.300680474368008,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.004395327202079102,0.4880214250975808,39.52207691916649,16.806691456478177,120600572.14567326,0.0,91420227.03250997,15881.423226458664,1763305.3525434893,142792809.04159546,3611099971.8449254
27,2024-02-01,33.377770797125926,0.0,25.300680474368008,492.72542374205693,0.47919251059210866,101.52875349904627,45.54375896657543,6331.50419229814,0.004395327202079102,0.4880214250975808,39.52207691916649,16.806691456478177,120600572.14567326,0.0,91420227.03250997,15881.423226458664,1763305.3525434893,142792809.04159546,3611099971.8449254
