,Date,precip_and_snowmelt_input_Duchesne_mean,irrigation_Duchesne_mean,AET_Duchesne_mean,soil_thickness_Duchesne_mean,soil_porosity_Duchesne_mean,field_capacity_Duchesne_mean,wilting_point_Duchesne_mean,Geo_K_Duchesne_mean,Runoff_Duchesne_mean,Recharge_Duchesne_mean,Soil_Water_End_Of_Previous_Timestep_Duchesne_mean,Soil_Saturation_Percent_End_Of_Timestep_Duchesne_mean,precip_and_snowmelt_input_m3_Duchesne_sum,irrigation_m3_Duchesne_sum,AET_m3_Duchesne_sum,Runoff_m3_Duchesne_sum,Recharge_m3_Duchesne_sum,Soil_Water_End_Of_Previous_Timestep_m3_Duchesne_sum,Duchesne_area_m2
0,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
1,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
2,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
3,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
4,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
5,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
6,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
7,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
8,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.4055805
9,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
10,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
11,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
12,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.4055805
13,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
14,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
15,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
16,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
17,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
18,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
19,2024-01-01,41.68916271114073,0.0,8.86181623005911,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,4.936757977026294,15.487797769827301,76.81301909733534,45.62407726825102,289279105.2845266,0.0,61489557.34686134,34256911.02048916,107469789.5562266,532965956.59894085,6930903243.405783
20,2024-02-01,73.27840269329907,0.0,18.569496556194164,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,20.43872920085108,24.338040720786474,87.33140156368282,53.95741424155561,508464815.52892834,0.0,128846429.81328467,141824146.43335018,168878870.60574368,605948919.893545,6930903243.405783
21,2024-02-01,73.27840269329907,0.0,18.569496556194164,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,20.43872920085108,24.338040720786474,87.33140156368282,53.95741424155561,508464815.52892834,0.0,128846429.81328467,141824146.43335018,168878870.60574368,605948919.893545,6930903243.405783
22,2024-02-01,73.27840269329907,0.0,18.569496556194164,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,20.43872920085108,24.338040720786474,87.33140156368282,53.95741424155561,508464815.52892834,0.0,128846429.81328467,141824146.43335018,168878870.60574368,605948919.893545,6930903243.405783
23,2024-02-01,73.27840269329907,0.0,18.569496556194164,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,20.43872920085108,24.338040720786474,87.33140156368282,53.95741424155561,508464815.52892834,0.0,128846429.81328467,141824146.43335018,168878870.60574368,605948919.893545,6930903243.405783
24,2024-02-01,73.27840269329907,0.0,18.569496556194164,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,20.43872920085108,24.338040720786474,87.33140156368282,53.95741424155561,508464815.52892834,0.0,128846429.81328467,141824146.43335018,168878870.60574368,605948919.893545,6930903243.405783
25,2024-02-01,73.27840269329907,0.0,18.569496556194164,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,20.43872920085108,24.338040720786474,87.33140156368282,53.95741424155561,508464815.52892834,0.0,128846429.81328467,141824146.43335018,168878870.60574368,605948919.893545,6930903243.405783
26,2024-02-01,73.27840269329907,0.0,18.569496556194164,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,20.43872920085108,24.338040720786474,87.33140156368282,53.95741424155561,508464815.52892834,0.0,128846429.81328467,141824146.43335018,168878870.60574368,605948919.893545,6930903243.4055805
27,2024-02-01,73.27840269329907,0.0,18.569496556194164,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,20.43872920085108,24.338040720786474,87.33140156368282,53.95741424155561,508464815.52892834,0.0,128846429.81328467,141824146.43335018,168878870.60574368,605948919.893545,6930903243.405783
28,2024-02-01,73.27840269329907,0.0,18.569496556194164,394.8292256215982,0.48223797606367785,87.63905888499131,42.00025770225681,20359.06455669382,20.43872920085108,24.338040720786474,87.33140156368282,53.95741424155561,508464815.52892834,0.0,128846429.81328467,141824146.43335018,168878870.60574368,605948919.893545,6930903243.405783
