,Date,precip_and_snowmelt_input_Jordan_mean,irrigation_Jordan_mean,AET_Jordan_mean,soil_thickness_Jordan_mean,soil_porosity_Jordan_mean,field_capacity_Jordan_mean,wilting_point_Jordan_mean,Geo_K_Jordan_mean,Runoff_Jordan_mean,Recharge_Jordan_mean,Soil_Water_End_Of_Previous_Timestep_Jordan_mean,Soil_Saturation_Percent_End_Of_Timestep_Jordan_mean,precip_and_snowmelt_input_m3_Jordan_sum,irrigation_m3_Jordan_sum,AET_m3_Jordan_sum,Runoff_m3_Jordan_sum,Recharge_m3_Jordan_sum,Soil_Water_End_Of_Previous_Timestep_m3_Jordan_sum,Jordan_area_m2
0,2005-01-01,110.92037299800111,0.0,15.695544473635787,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,18.137603162883764,50.29278738922177,148.83757088507244,65.40958375398465,1093206785.980461,0.0,154686572.02157047,178760707.15008324,495684053.8192081,1413431310.5959573,9845350631.34641
1,2005-02-01,80.43137245529927,0.0,23.211398591541446,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,10.825982778500132,44.56978516853309,150.8470517197384,65.64737768932643,792711646.0726244,0.0,228758014.81700304,106699706.34730378,439277885.10178363,1432511712.765404,9845350631.34641
2,2005-03-01,98.23965468416377,0.0,38.65938373766324,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,14.023471388415786,42.90266848699609,154.5366939954529,66.38938793498788,968213143.0562975,0.0,381003908.6011681,138212721.7063001,422843831.6274151,1467544881.3966193,9845350631.34641
3,2005-04-01,78.02186919081481,2.8489534087774238,58.409029950648964,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,6.666293217943223,25.311738098139095,146.2882872756498,61.20678549572305,768939729.501521,28077681.24950656,575646502.1158388,65699848.786999516,249466134.13005424,1389206380.400325,9845350631.34641
4,2005-05-01,100.33796083151293,7.407278865037623,89.74038961566417,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,9.102244917139142,16.44185019246708,140.7731153707757,57.84717605993619,988875163.5964229,73001971.27055714,884434466.5117354,89706488.7764885,162042971.12445137,1336827652.100779,9845350631.34641
5,2005-06-01,36.501154797817115,11.395813635109695,88.86975182746824,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,4.599694059847044,3.9558129335593515,98.35156142013157,35.6682857246782,359736832.1439403,112310724.99802624,875864180.4371359,45331410.35185254,38986762.05914322,933965547.212122,9845350631.34641
6,2005-07-01,4.641954170051196,14.814557730075245,101.10030787633038,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,4.379841729768362,1.067814998948301,60.19047602658673,19.078893551781025,45751114.195429735,146003942.54111427,996410234.7567033,43164818.57316091,10523837.313656813,571573731.544549,9845350631.34641
7,2005-08-01,9.81707654686954,11.965604745249555,80.99106991404788,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,3.9727088597235802,0.9410128202101105,50.21860303716314,15.472096015773737,96753461.57505113,117926265.46978393,798220112.4366841,39152407.29479403,9274169.102512134,476880520.234432,9845350631.34641
8,2005-09-01,22.705705657412818,5.6979068175548475,54.090211507694086,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.8307671864041335,0.6084852987444411,47.86601794377546,14.763029821915438,223780100.89664224,56155362.49901312,533095086.80245715,18042728.863588266,5996879.4560324345,454540331.9316823,9845350631.34641
9,2005-10-01,50.0342056103789,2.8489534087774238,42.35943566093471,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,2.4646011408203963,1.0622222971457869,60.45047485534779,21.356230792204425,493111882.6156002,28077681.24950656,417478059.87578976,24289293.769575156,10468528.332826633,574045487.7902085,9845350631.34641
10,2005-11-01,54.9983148317417,0.0,29.30342860828913,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,0.9409797892806873,3.665381326873028,83.80603749853978,34.744559797784376,542048769.6919953,0.0,288800642.09066224,9273777.111816073,36125151.82179525,795850942.9641082,9845350631.34641
11,2005-12-01,96.01420606723589,0.0,17.183581813794536,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,11.34583197798091,26.740823259691847,126.0014171716608,55.24719974338191,946292433.297781,0.0,169351183.81228015,111822292.16064924,263558594.9375106,1196564708.5872846,9845350631.34641
12,2006-01-01,84.64878714021349,0.0,15.370282209351126,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,14.818627041153368,37.284716560948276,143.55806054401958,61.79314979893553,834267163.9545641,0.0,151481415.37496135,146046935.16808152,367474528.9087982,1363284736.1833293,9845350631.34641
13,2006-02-01,51.1318662743411,0.0,20.50647766702053,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,5.78809075535031,26.79496667569271,142.69735928558165,60.890171559724564,503942639.1825845,0.0,202100826.09067386,57046357.58044926,264090299.19041714,1355109869.699578,9845350631.34641
14,2006-03-01,121.8602653927535,0.0,31.019650011666787,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,21.55563020967489,52.89339874729257,159.65941538197674,68.48453605626418,1201009140.843672,0.0,305709787.7618296,212445133.83146235,521308471.76877725,1516187377.5210814,9845350631.34641
15,2006-04-01,104.103056269821,2.731164275620261,59.51883970601232,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,19.05668648006329,34.997876471293516,155.15755216663146,65.94446080896533,1025998057.3014694,26916774.763414852,586584177.9583278,187815510.018096,344933514.89880717,1473434840.3412282,9845350631.34641
16,2006-05-01,22.06526526546789,7.101027063709368,93.03244527549994,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,0.6952727798526783,5.390930706686097,92.25566877890574,33.620021546179686,217463553.0062875,69983613.86347316,916888860.3551364,6852075.098216634,53130925.941793546,876081307.2497196,9845350631.34641
17,2006-06-01,19.22274527798662,10.924657102481044,98.64753376406287,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,2.576265180047144,0.8593772323978062,58.78655842498299,18.717051524473337,189451354.5096427,107667099.05365941,972235637.1300676,25389796.461703833,8469455.871403951,558242404.3885163,9845350631.34641
18,2006-07-01,13.327325436921353,14.202054127418736,101.02958471735663,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,4.3156998547064225,0.9381780730972686,48.1714411620108,14.719771836517756,131346520.9612346,139967227.72694632,995714386.8820765,42532484.68579692,9246047.346580986,457439431.9234554,9845350631.34641
19,2006-08-01,19.05914283453592,11.470889728226842,78.38565372752544,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,4.041322098783734,0.9018984287076975,45.80292534169938,13.9643644541406,187838582.71157727,113050451.74572562,772543470.0191177,39828346.46164483,8888553.15330448,434947784.51253873,9845350631.34641
20,2006-09-01,57.73126934438561,5.462328551240522,62.329741442813784,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,2.8015664150463144,1.0465292908989914,52.38565714979495,17.517358631141086,568971962.4586926,53833549.526829705,614296860.3552575,27609927.55281339,10313749.242120145,497457934.224672,9845350631.34641
21,2006-10-01,71.67592851010858,2.731164275620261,55.817893858321035,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.7375742844263695,2.0944421265177935,69.61907686030544,27.294221333101977,706407800.1554053,26916774.763414852,550114218.1473355,17124217.58103463,20642022.513833534,661118326.5007446,9845350631.34641
22,2006-11-01,44.08493218124556,0.0,34.05071916120023,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,0.6850205038634825,4.6520092978231125,77.16493118364832,31.862934884462806,434487465.77374095,0.0,335586033.6856348,6751256.865661925,45849733.062413625,732783801.0556381,9845350631.34641
23,2006-12-01,50.62113453159349,0.0,14.860343123630742,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.8990309205868563,10.741091499267014,101.22844992147428,43.25086582232039,498902558.5912551,0.0,146454285.08085632,18715772.45237315,105863549.02433877,961304585.8735136,9845350631.34641
24,2007-01-01,26.27959818488873,0.0,11.317851650753875,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.1741433358379496,9.09660766514386,106.36487541968376,45.03830549464503,259002184.03347695,0.0,111543853.63393866,11571700.97094213,89655471.55772676,1010081301.7816765,9845350631.34641
25,2007-02-01,81.40125926946315,0.0,25.260137182557276,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,7.867438334838159,29.249316617934756,126.31117880429412,54.262441078089694,802266081.7555066,0.0,248949662.40323824,77538679.72207348,288281132.5718204,1199501929.7380486,9845350631.34641
26,2007-03-01,51.78596002776091,0.0,51.94509074228773,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.4531884368845198,13.759491755589572,113.48228356434196,47.84537761513026,510384666.3625299,0.0,511943505.152964,14322363.33154284,135613533.56563932,1077674505.1197553,9845350631.34641
27,2007-04-01,29.989173586538357,2.8856590570116585,66.4397936925967,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.4484291522510806,4.9596595595882,80.91850632493345,32.26623159916658,295564195.627895,28439437.42188643,654799546.2892228,14275714.099583333,48882056.74155987,768432754.834334,9845350631.34641
28,2007-05-01,22.954403372418913,7.502713395514431,90.80522362445129,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,0.21277617485731562,0.9088826856677056,47.15189916029135,15.614115318571654,226229476.05279398,73942535.79183896,894937410.0985224,2096971.0052422292,8957568.629154926,447764058.6071788,9845350631.34641
29,2007-06-01,26.44353222080198,11.542636228046634,98.00291112758703,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.890794118319549,0.4855127710053389,38.48491529287826,11.691229187800396,260616651.75113207,113757749.68754572,965882529.0697451,18634368.45285715,4784925.097491412,365457600.26620924,9845350631.34641
30,2007-07-01,18.931732050142152,15.005426791028862,89.4924066197392,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,4.794611167488324,1.0322059878794032,37.66771881361184,11.275040857042418,186581151.70513797,147885071.58367792,882007020.750003,47252548.61881918,10172914.800785087,357697214.87108874,9845350631.34641
31,2007-08-01,21.149678330639347,12.11976781428033,81.35886068237676,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,4.187193784013724,1.0067234563538328,36.52856492059583,10.782542432837852,208444467.45306367,119445634.95275538,801844471.9012961,41266299.92613603,9921810.980259491,346880259.36160123,9845350631.34641
32,2007-09-01,54.6488526742784,5.771318114023317,62.092225127199995,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,2.6042042681681163,0.8772168383555989,41.95458803730395,13.698691976400436,538599478.2937987,56878874.84377286,611961063.0336885,25665127.816541944,8645268.00381639,398406273.7543435,9845350631.34641
33,2007-10-01,57.88684235129145,2.8856590570116585,57.057222312035,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.1128955967768532,1.3812089698726828,49.3853475143436,18.624071728960644,570506587.04949,28439437.42188643,562328808.4506438,10967856.617480623,13612496.095964236,468973141.27683234,9845350631.34641
34,2007-11-01,12.988645114650746,0.0,25.95381257769578,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,0.0005492564635469964,0.36746499614879163,44.03370414261927,16.186687694919826,128011887.53238614,0.0,255789379.84069502,5413.013478617024,3621522.7293735635,418152218.8549317,9845350631.34641
35,2007-12-01,112.79658186847367,0.0,8.008162784234113,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,8.753626215957885,23.874828263182586,117.31950427388948,52.30933296427252,1111688373.4492242,0.0,78923912.46509998,86272836.86280866,235308854.71590844,1114116470.085954,9845350631.34641
36,2008-01-01,120.9591167266407,0.0,5.433784290662011,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,24.80052049375591,53.362283849296055,155.82169136937912,69.11947533849899,1192145764.0017374,0.0,53552945.27832849,244428809.79289702,525932822.9276491,1479754743.818701,9845350631.34641
37,2008-02-01,95.2894887012802,0.0,15.874628792409636,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,15.746538909592672,54.54996088241032,164.9450156191555,72.48517660654502,939145124.9051282,0.0,156449277.51077697,155194274.99844834,537637135.6680197,1566392257.6604116,9845350631.34641
38,2008-03-01,56.591737656966664,0.0,27.58878282136087,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,5.786356614325548,39.85099050947793,149.72607184200098,65.31088513694249,557756240.4893199,0.0,271897198.3948025,57030023.83235019,392770381.72509474,1421865044.9244292,9845350631.34641
39,2008-04-01,32.80248332239247,2.6562567585951924,52.829158102379644,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.075901983726614,16.535165350963542,118.0637604365822,48.71966571659309,323289109.7964498,26178541.76412174,520654442.6078442,10603839.519958291,162970749.71786025,1121183635.2867548,9845350631.34641
40,2008-05-01,65.25179670970331,6.906267507077155,71.9383900918931,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,2.6610010313758194,10.055648375122251,110.74812952328081,44.8327259667863,643093002.0495706,68064207.94343866,708991121.1042907,26225418.48969244,99106370.87101273,1051708155.9289865,9845350631.34641
41,2008-06-01,27.67544039996371,10.62502703438077,92.4901146692001,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,3.4127500130046644,1.7311826199704077,67.07915057483315,22.747603184073764,272751327.6469402,104714167.05648696,911550109.6879988,33633457.96279929,17061446.32396556,636993337.4418732,9845350631.34641
42,2008-07-01,8.639307663481643,13.81253501415431,100.61968035333304,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,4.0910633056728845,0.8516431112884892,45.81392972027776,13.929904784427533,85146276.08012767,136128415.88687733,991674106.2488167,40318710.289676964,8393294.39205008,435052999.4982589,9845350631.34641
43,2008-08-01,25.7389455185615,11.15627838852357,78.05695393561668,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,4.164554895249148,0.9728343747837548,44.334740533032694,13.478577384077903,253672481.82388574,109949875.43316518,769302688.3534234,41042949.4156169,9587694.204531925,421006293.07496005,9845350631.34641
44,2008-09-01,29.291059709131602,5.312513517190385,54.68165260942313,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,2.0601143819494574,0.668853579659431,44.755853682124325,13.702143616042497,288680988.5931208,52357083.52824348,538922448.1896095,20303078.655072507,6591798.420780882,425005242.5089725,9845350631.34641
45,2008-10-01,36.28855177283676,2.6562567585951924,42.97699727402823,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.064000488312916,0.4846018854163677,47.97520312416531,15.404947249497988,357639221.5343346,26178541.76412174,423561639.42132694,10485912.318382723,4775869.903513634,455576293.0554838,9845350631.34641
46,2008-11-01,52.54390261355496,0.0,24.75600283188886,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.0507449808267755,3.4207190208062523,72.34409350579935,28.61808690858551,517851888.6174332,0.0,243984255.4242011,10355433.759309303,33713405.00507576,686997474.8156514,9845350631.34641
47,2008-12-01,86.9750126244074,0.0,10.527629232801822,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,8.010334721464163,22.648968030987593,119.89519039409343,52.615625752562195,857206780.1524428,0.0,103756123.65447518,78947494.26291023,223226800.7034561,1138575183.9760125,9845350631.34641
48,2009-01-01,116.82990487921744,0.0,13.154598355179067,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,18.62303540468872,51.538587221030916,152.54222588513704,66.60489765691104,1151438285.3505805,0.0,129646176.04153787,183541382.56846705,507958357.6169271,1448604229.3998065,9845350631.34641
49,2009-02-01,67.37132961221786,0.0,17.12096489684231,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,7.346864224505897,43.22542640743843,151.1135010519281,64.9297220594626,663991042.2046336,0.0,168735836.95579433,72407981.52986412,426024446.49221283,1435032217.7166662,9845350631.34641
50,2009-03-01,92.35462530548445,0.0,41.95176989071427,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,13.565382178387095,39.54918278135908,150.10640886321818,64.53050280438343,910219435.1257004,0.0,413451692.9820738,133697403.33554517,389792789.62858295,1425470833.5017736,9845350631.34641
51,2009-04-01,122.99782267455254,2.24939276013223,71.57697943535831,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,15.114919167731856,40.12280407733099,150.22950356772566,64.59690665031472,1212224476.9392765,22168739.764043953,705421356.0551982,148969800.18529704,395447212.24377793,1426642462.4858775,9845350631.34641
52,2009-05-01,41.412055149060755,5.848421343840621,98.65847985862851,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,0.4374785916185959,6.464255190429008,97.92311893942602,37.32310808217794,408138605.11201495,57638725.03723637,972331576.03074,4311489.334833433,63710123.54858224,929912928.2999494,9845350631.34641
53,2009-06-01,85.15046220190786,8.99757104052892,99.48391254592059,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,4.100378339133874,4.099534917509462,91.08024076186919,34.27335777260438,839202198.2255642,88674959.05617581,980471781.547501,40410692.26068079,40403033.156719826,864923118.8231118,9845350631.34641
54,2009-07-01,8.762235700087713,11.696842687681242,93.75418511920444,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,3.015374285459545,0.8252762065861317,55.14828637934261,17.37828375605372,86354908.65029141,115277450.07447274,924009235.5545188,29717419.831371143,8133451.138986067,523693004.67655367,9845350631.34641
55,2009-08-01,11.860507553007036,9.447449992179143,97.40471402780435,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,1.4674865853975547,0.43712081877911924,43.2112777065326,12.888702462511661,116893735.42771041,93108710.94745001,959985783.5476674,14462529.421245277,4307989.515000755,410338340.5560931,9845350631.34641
