,Date,precip_and_snowmelt_input_Jordan_mean,irrigation_Jordan_mean,AET_Jordan_mean,soil_thickness_Jordan_mean,soil_porosity_Jordan_mean,field_capacity_Jordan_mean,wilting_point_Jordan_mean,Geo_K_Jordan_mean,Runoff_Jordan_mean,Recharge_Jordan_mean,Soil_Water_End_Of_Previous_Timestep_Jordan_mean,Soil_Saturation_Percent_End_Of_Timestep_Jordan_mean,precip_and_snowmelt_input_m3_Jordan_sum,irrigation_m3_Jordan_sum,AET_m3_Jordan_sum,Runoff_m3_Jordan_sum,Recharge_m3_Jordan_sum,Soil_Water_End_Of_Previous_Timestep_m3_Jordan_sum,Jordan_area_m2
0,2005-01-01,110.92037299800111,0.0,13.238004888114105,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,19.113147007406436,51.073820899350224,153.1367622883068,66.88190406635611,1093206785.980461,0.0,130465028.46697435,188375614.2084173,503381022.53390676,1454257277.353359,9845350631.34641
1,2005-02-01,80.43137245529927,0.0,25.432493774383804,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,11.547694032729531,41.90568542768978,153.7371184631585,66.33265907047574,792711646.0726244,0.0,250647292.01245654,113812918.71327832,413021977.2744159,1459956473.585494,9845350631.34641
2,2005-03-01,98.23965468416377,0.0,43.23380563335638,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,14.264764598327455,38.285434708767085,155.0816700226793,65.83398111637291,968213143.0562975,0.0,426088642.37219566,140590679.35205987,377338445.6681285,1472718903.7752566,9845350631.34641
3,2005-04-01,78.02186919081481,2.8489534087774238,65.95755869838237,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,6.017469755674991,21.360830883812646,140.73179255537434,57.70394995239943,768939729.501521,28077681.24950656,650043819.3449656,59305346.21392499,210528293.83445078,1336435734.0878503,9845350631.34641
4,2005-05-01,100.33796083151293,7.407278865037623,102.05846584253078,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,7.158891871663924,12.483619631411454,125.98625876889035,49.437577203604526,988875163.5964229,73001971.27055714,1005843328.1614467,70553608.12920538,123031705.26581162,1196396099.8813689,9845350631.34641
5,2005-06-01,36.501154797817115,11.395813635109695,107.98171615968484,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,2.840534157253771,2.064860326852732,83.35144958636208,28.201179445879497,359736832.1439403,112310724.99802624,1064226310.2840439,27994492.993977465,20350341.11022988,791514003.5849562,9845350631.34641
6,2005-07-01,4.641954170051196,14.814557730075245,112.46018711490555,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,2.6275105628918434,0.8175962308820166,52.47300418398771,15.6378860213452,45751114.195429735,146003942.54111427,1108362242.478596,25895099.688416637,8057903.141464187,498289092.46893823,9845350631.34641
7,2005-08-01,9.81707654686954,11.965604745249555,90.49825634965066,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,2.7239806446360624,0.7173091947226268,42.9809749078101,12.329945410424385,96753461.57505113,117926265.46978393,891915058.530529,26845754.0736197,7069500.709659498,408152695.7008753,9845350631.34641
8,2005-09-01,22.705705657412818,5.6979068175548475,64.75777873519054,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,0.9591203192214078,0.4305560246270515,40.09939432580561,11.469233294984635,223780100.89664224,56155362.49901312,638226180.5086645,9452434.63781324,4243373.627900314,380789196.9029092,9845350631.34641
9,2005-10-01,50.0342056103789,2.8489534087774238,36.97164129301685,476.3384509393889,0.5107793683450438,118.18666918384443,61.39137609476922,9086.359368259411,2.2995189326107917,1.127104977512247,56.527217085874156,19.61937541139069,493111882.6156002,28077681.24950656,364377195.470856,22662438.33226361,11108184.98325378,536793296.19395405,9845350631.34641
